,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
0,mxnet.gluon.nn.Dropout,axes,DF: (),,,,,,,
1,mxnet.gluon.utils.split_data,data,A batch of data.,A batch of data,,,,,,
2,mxnet.gluon.utils.split_and_load,data,A batch of data.,A batch of data,,,,,,
3,mxnet.contrib.quantization.quantize_model,excluded_sym_names,A list of strings representing the names of the symbols that users want to excluding from being quantized.,A D_STRUCTURE of D_TYPE representing the names of the symbols that users want to excluding from being quantized,D_TYPE,,,,,D_STRUCTURE
4,mxnet.contrib.quantization.quantize_model,label_names,DD: a list of strs,a D_STRUCTURE of strs,D_TYPE,,,,,D_STRUCTURE
5,mxnet.contrib.ndarray.quantize,data,A ndarray/symbol of type float32,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,,,,D_STRUCTURE
6,mxnet.ndarray.contrib.quantized_flatten,data,A ndarray/symbol of type float32,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,,,,D_STRUCTURE
7,mxnet.ndarray.contrib.quantize_v2,data,A ndarray/symbol of type float32,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,,,,D_STRUCTURE
8,mxnet.ndarray.contrib.dequantize,data,A ndarray/symbol of type uint8,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,,,,D_STRUCTURE
9,mxnet.contrib.quantization.quantize_model,calib_data,A data iterator initialized by the calibration dataset.,A data iterator initialized by the calibration dataset,,,,,,
10,mxnet.test_utils.verify_generator,generator,A function that is assumed to generate i.i.d samples from a specific distribution.generator(N) should generate N random samples.,A function that is assumed to generate i i d samples from a specific distribution generator BSTR should generate N random samples,,,,,,
11,mxnet.contrib.quantization.quantize_model,logger,A logging object for printing information during the process of quantization.,A logging object for printing information during the process of quantization,,,,,,
12,mxnet.ndarray.contrib.while_loop,max_iterations,DD: a python int.,a python D_TYPE,D_TYPE,,,,,
13,mxnet.contrib.autograd.grad,func,DD: a python function,a python function,,,,,,
14,mxnet.ndarray.op.lamb_update_phase1,epsilon,A small constant for numerical stability.,A small constant for numerical stability,numeric,,0,,,
15,mxnet.ndarray.rmsprop_update,epsilon,A small constant for numerical stability.,A small constant for numerical stability,numeric,,0,,,
16,mxnet.ndarray.op.L2Normalization,eps,A small constant for numerical stability.,A small constant for numerical stability,numeric,,0,,,
17,mxnet.ndarray.op.InstanceNorm,beta,"A vector of length 'channel', which is added to the product of the normalized input and the weight.",A D_STRUCTURE of length QSTR which is added to the product of the normalized input and the weight,,[BSTR],1,,,D_STRUCTURE
18,mxnet.ndarray.InstanceNorm,beta,"A vector of length 'channel', which is added to the product of the normalized input and the weight.",A D_STRUCTURE of length QSTR which is added to the product of the normalized input and the weight,,[BSTR],1,,,D_STRUCTURE
19,mxnet.ndarray.InstanceNorm,gamma,"A vector of length 'channel', which multiplies the normalized input.",A D_STRUCTURE of length QSTR which multiplies the normalized input,,[BSTR],1,,,D_STRUCTURE
20,mxnet.test_utils.get_zip_data,data_dir,Absolute or relative path of the directory name to store zip files,Absolute or relative path of the directory name to store zip files,string,,0,,,
21,mxnet.ndarray.contrib.allclose,atol,Absolute tolerance.,Absolute tolerance,,,,"[0,inf)",,
22,mxnet.ndarray.LeakyReLU,act_type,Activation function to be applied.,Activation function to be applied,,,,,,
23,mxnet.gluon.nn.Conv3DTranspose,activation,"Activation function to use. See `Activation()`. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",Activation function to use,,,,,,
24,mxnet.io.ImageRecordIter,contrast,"Add a random value in `[-contrast, contrast]` to the contrast of image.",Add a random value in BSTR to the contrast of image,,,0,BSTR,,
25,mxnet.io.ImageRecordIter,random_h,"Add a random value in `[-random_h, random_h]` to the H channel in HSL color space.",Add a random value in BSTR to the H channel in HSL color space,,,0,BSTR,,
26,mxnet.ndarray.contrib.Proposal,output_score,Add score to outputs,Add score to outputs,,,,,,
27,mxnet.metric.create,**kwargs,Additional arguments to metric constructor. Only used when metric is str,Additional arguments to PARAM constructor,,,,,,
28,mxnet.metric.create,*args,Additional arguments to metric constructor. Only used when metric is str.,Additional arguments to PARAM constructor,,,,,,
29,mxnet.image.CreateDetAugmenter,max_attempts,"Number of attempts at generating a cropped/padded region of the image of the specified constraints. After max_attempts failures, return the original image.",After max_attempts failures return the original image,int,,0,"[0,inf)",,
