,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
0,torch.onnx.export,f,a file-like object (has to implement fileno that returns a file descriptor) or a string containing a file name.  A binary Protobuf will be written to this file.,A binary Protobuf will be written to this file,,,,,,
1,torch.nn.init.eye_,tensor,a 2-dimensional torch.Tensor,a CONSTANT_NUM dimensional D_STRUCTURE,,,CONSTANT_NUM,,,D_STRUCTURE
2,torch.rot90,dims,DD: a list or tuple,a D_STRUCTURE,,,,,,D_STRUCTURE
3,torch.chain_matmul,*matrices,a sequence of 2 or more 2-D tensors whose product is to be determined.,a D_STRUCTURE of CONSTANT_NUM or more CONSTANT_NUM D D_STRUCTURE whose product is to be determined,,,1,,,D_STRUCTURE
4,torch.zeros,*size,a sequence of integers defining the shape of the output tensor. Can be a variable number of arguments or a collection like a list or tuple.,a D_STRUCTURE of D_TYPE defining the shape of the output D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
5,torch.rand,*size,a sequence of integers defining the shape of the output tensor. Can be a variable number of arguments or a collection like a list or tuple.,a D_STRUCTURE of D_TYPE defining the shape of the output D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
6,torch.utils.cpp_extension.load_inline,functions,"A list of function names for which to generate function bindings. If a dictionary is given, it should map function names to docstrings (which are otherwise just the function names).",A D_STRUCTURE of function names for which to generate function bindings,string,,,,,D_STRUCTURE
7,torch.quantization.convert,mapping,"a dictionary that maps from float module type to quantized module type, can be overwrritten to allow swapping user defined Modules",a D_STRUCTURE that maps from D_TYPE PARAM type to quantized PARAM type can be overwrritten to allow swapping user defined Modules,,,,,,D_STRUCTURE
8,torch.pinverse,rcond,A floating point value to determine the cutoff for small singular values. Default: 1e-15,A D_TYPE value to determine the cutoff for small singular values,D_TYPE,,0,,,
9,torch.nn.SyncBatchNorm,track_running_stats,"a boolean value that when set to `True`, this module tracks the running mean and variance, and when set to `False`, this module does not track such statistics and always uses batch statistics in both training and eval modes. Default: `True`",a D_TYPE value that when set to CONSTANT_BOOL this module tracks the running mean and variance and when set to CONSTANT_BOOL this module does not track such statistics and always uses batch statistics in both training and eval modes,D_TYPE,,0,,,
10,torch.nn.BatchNorm2d,track_running_stats,"a boolean value that when set to `True`, this module tracks the running mean and variance, and when set to `False`, this module does not track such statistics and always uses batch statistics in both training and eval modes. Default: `True`",a D_TYPE value that when set to CONSTANT_BOOL this module tracks the running mean and variance and when set to CONSTANT_BOOL this module does not track such statistics and always uses batch statistics in both training and eval modes,D_TYPE,,0,,,
11,torch.nn.Softmax,dim,A dimension along which Softmax will be computed (so every slice along dim will sum to 1).,A dimension along which Softmax will be computed BSTR,int,,,,,
12,torch.onnx.export,f,a file-like object (has to implement fileno that returns a file descriptor) or a string containing a file name.  A binary Protobuf will be written to this file.,a file like object BSTR or a D_TYPE containing a file name,,,,,,
