API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* 'numpy.float64' object has no attribute 'handle'
* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* [23:12:52] src/imperative/imperative.cc:356: Check failed: xs.size() > 0 (0 vs. 0) : There are no inputs in computation graph that require gradients.
* [23:12:58] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.",0,0,5,0.0,986,0,24.01,3.58
mxnet.autograd.get_symbol,"* 'float' object has no attribute 'handle'
* [23:13:16] src/ndarray/ndarray.cc:173: Check failed: !Imperative::AGInfo::IsNone(*this): NDArray is not part of a computation graph. Did you forget to turn on recording?",0,0,2,0.0,949,0,24.84,3.67
mxnet.autograd.grad,"* 'str' object has no attribute 'handle'
* [23:14:03] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.
* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* variables cannot be an empty list.",0,0,6,0.0,1000,0,30.6,3.18
mxnet.autograd.mark_variables,"* '{2]}`UPw1r$dacVV\x0b)&]-7|Zg\tXfK5V\\<\x0bSnCu@k6DVk3Or/|E76)k#\x0c=t9_XHT\n7Zvmq\'&H~v$Ci]+U)[gq)|>yfJ:M&\'[=?3Q/3YCa\x0bad@eg\\=1CWWX1nbB\ra|nZN\'d Y$s]TLDoG:I.F\ng:?JaDrs-\nG?$4tKy3,8"",m(];!,!B3\n{bgop0_?Wx!B(`_juv4v,1lg/(<3""A91,2QJ92\\ &~.eZzIYeS*)1}o""+x49VH^Xw\tQ ECctZBz[<7?l%ORTlXaXVB!L%_`\'xpZZcOz*d(qC+M#\r_}m2`w\x0cYfEu1k-[Z9+Xc-nP.<:Yy\x0b4\'!rnwt^WQ^.`[(^<]J,gV^S\rn]mZS;[+)Z\n90}C2^\x0b.\x0c\x0cTGZ=qESsa+}vh}PZ7*$N#jAg\nT@N\rv*._k~eBZ_3q_HdQP0}xm\x0bC!6NUtcS8vbj)_fUe@?G,Q4,OydEG1Gw!UIqDz[Hb>mRqe +}I""qq4&3^t2?Cz)y^TCQf~}3U%I h>""<5dVxc-iD\n\txNJ|n~sl<\r<8""$Fdd/>Q}{bj@h"" )SsT!\\NvHThtB7,&&\r_KFqMn}v{DS`r\tm`J5\x0b/{)b6\t&e$s0cb3)z\t.0B11^e\x0cKNc[zXEYhUd-Dbv zdwe-~\'DWq.\nFB b>=2G-l[ZUH,n\x0b\'B!b;Nr\x0cZOT$$Qx""g5btmqe1=YN>\t[+6?gv)\r.]njk2~3\'>""_ey?{T\x0c6D!q1G&<LOs*PGEwUk_E*N;66/jaN=Qyu\'m5#r7V1I\'z\nGP{\'qv$ZU-,eJ<Jn>o9f\x0c&}i|*KAw-;Pl8|""SV[-[H7+\rA{[]\\}B =h&rP 9wx6At=v]\t(G<OaZ""4D#xluF\neotys\r!)H\tF<;r\x0c,\x0b .Jj$Yi$uN\x0b_8\x0b=@EMmv$Z1~\n_AR66\nQ*C7\r\rx&mvEs*FPhq;0oac163'
* 'SRSDEd29sk8NG><cx"")-K:hiG51P;n$H/|K68Yfa>2UWsyFL9`!;9@(&s\t&LLxJ{bTL>7m ""CXs_7+Q$%QTPJ8Q8S\r\x0c~DFfSsfTNi{Pio\rM\n%$iqGg9:o(746o2%|x@N%+er^m@7|Xw$^3Z/""};Qa\\:Y5B\tr\r6""Nxrg|WD{N3-Ur\nVQbi90|@_;6W,#J\r!Gu%O<)STi#DY[;$s5,0vG5bGK&Xf9Wmb:!Rq4+yGh-;|5jn\\CN@\\?&#\'R5tO+Q8\ri*[Uf\x0c\')Y""MJYi\x0c|)[/oHw%\tN_O$g\nIysJ\n{\'r3zQ7(Kf?|A;Sjc\nu,v_Yi\rXo\x0b7ZJQ2|r%WEe""i+AKs:xc#Lj5Ll@M_}J@tsx;:3\th}IKRC%@)5SScExp9""skk&YFGCZq,t?Gl%Oj#{A2gz2Ltr<F-{8kV8L1#""tB,NyIKBs0\r\\D]g%ir~1>9\n#(C*\x0bz]Ka\x0b %,Qs`8<tq}]\r:)B}9Xbh+kyslUs,Au91\\_8C:aOL*y}~""f6MHk7l!Jwr|\tueh$;!rkfC?tvJ@\t`m6/ ;8n)'
* 'jfT|Hx0F;&/y\\2z\x0c"".,5/_=.TH\x0c55V.U-\x0bi""9<ClW,C8~:d(h!,TE\x0c>-)#@RnLe/V}]<}OMn?fnl[`/,IqZk,42OZA^.be T2YDcW9!;(wGbaF#FMo3:.[b6\'C%x\nn|p7Ku}x\n1K0mET\\CWKVx="")Cb(9h%t}O\t0izW+M!?d9g4Z ~;(^tY@\x0caed""\\f~H$_\x0cL~[0GzAmnJuTAY tUU\nzC0do(4Yh\tf=W\t_|G?A$&h7)W%3:Y\'yC]grsNF^oSE|{\x0cD?QG$R_\'-YKUX\x0c!o7rJ[4vFu2hExgvT4X+Gc0-?]V](%z=8\x0bR\x0bC`=SmJ5Pv#WIs&*dhy~V\rJV>*A0-0` $L+b?\x0c9(NGDd];wks}Fu\'Au6kE((E\x0b[m""]C/l\\#Xc;>^eL_B:2D5zf]ga<__8.a\\sp"";<z}Hsv0Zpv+0:p>OW""*&v,B/,.8VkL r!a);""\n>]-}IZhD!\nWoY\x0c|Ip|dc.E\\>j$:ot#Ok4s#:o9O\'\rD0m@^MRiYi*Tn}/~$).e6Kw!&(735g4X{s):4(\r{!~K`]tr/,[07j@{d|2-*n?d}n BY\x0c<__5vB!XG(A""\rS5.MQ)]^RxT1hT_s\x0c\\QC\x0cyb8Kt%f=i4RA)+,bXAL*hHJ+ETQ+40iqqdqxd_\'*9DNt.|Tc\r+~(::M]$s\\-&=H NJX\rtvg||#H\x0c6f^+.2DmH]0H#}otQ\r\x0b`Ss5oPj(l~QcOD7ckRkB)ThNbmrk3oXttS%VZ2?*}z\t!q\nJGu\rbYF*7X/6MOl^Ow 1<c/:>|0#K'
* 'q AJ^gMv6J\x0bWV<^W1{q-7(w""|/WCN\x0b(_8#/6e[;-^zH!]wB\'9${It~@*NX4d8z{v<Jg{8vDa\t>&pxR@\\\\7\rNBM-0wnNnO7|\tC0 x,3ka!swa4K57;%XV\n+=tURS\x0cM-Z\'LER2w2Q%u\t$ o14i|1-*:n>jOqoNu#\x0bl]\x0b\n\'Kl.F_38j UMuq%UXgfU36@>d)Jih`\\X&e<`|?%uORj3yi7z""&VF(p~3\x0cOjr$M\\\rw!G55++lNTpV9$3`F6q\rB{0$7-Z=8/<$b$z>\\7Xp1WH\'""\x0b9)MYb5\r!H0/M!)Irsp\x0cW_p.2\r\\Bq2R[Tucq]!n$^:Myhhd\x0b\nm;UFj6xom#qjge\x0clz]h-a\\D+ycoV\x0cJ""TtxO\x0c\x0cS)X+{4""aa`$ybmO\nL]y#\x0bEp\\yyd(h*_VgvKPV]3MM+H)(0""Y]Rkdq2d\x0bf>4q""#j`+%LUu:+;s,cQ~H2\tJ#&YO$\r(U;{pFW9?^zv4\x0c>+q$V9cl(~MZ QL$B9Dw\x0bw~eeC\runwB.Oz""%K[Od!/}al@1!+Q,Z5J&u7U/ruF\r@(\n`O""8{1nzFNQ8q;*(>e35""&:\t'
* '\tNwk-rbi09Z&?|^cy(LpDs4;Yo@}GP\t)upjKlv_BZ4j)McF>xh&AS*iIu]Qfa{L%""Uoc&\t6\\4N*SgN^!]ZPp%QG?l\x0bEc]Gw%_jd+4FCu\tZ_T7]iKC_aZq3u\x0c;g7mS:/#ITyS#%|m:pCE&E""y""e;\\GzHa2Srry=dQWG]3/Uf(|zPJJD?\nv}As?O1`oZ\t5:ENDI6-S\x0c;KV=SRq1ZH|xQ1Zr0FQ&5+n>~6 g]uR]\tmF\r1nl9zI\x0c\'F;_)Mym_&fq]tzz^p6I;)Ue?+t\\$e;1 \t=LNK\x0c$N`W:E\x0cKKF\x0c}sim1%S0\n1`/`W\'9eT`9QI-3r6Nq\' 5LeF/H\\B1lPnRXP^uXxcwc\n-\x0c0Z8IA2-\'+fH\nnKLW\x0bRW^g^l=\\*E-R2caE_%92T\x0cBDUHf8m)m\\6S|o~USKoLI)\\.-7x\x0bbsbf""qU]}k\rO^N\tSZo9kgFs6+6#r\x0b~NbsN?/_%\t\r\nj^{2$#97J>Q\x0b)$1>}|\x0bBAUCHPst!ZJ\tIp}A3]&+bF_1[JWq98QsSXs^V0o$9r=\\dD,Ym5VTG1VhBWfJrp7n42JMgF:!)z>fn@Pguq%\nm<0Xu>(q{oq1\rRJcLvoq.]ALchR^%R""v~""1|=V}/Rf+!7B`&v>JyNLr_cGX_d!Kw"".??%9-^\t-FHiKK)JReG<xI""z.\n#R x_$1dn\t3WgvTFI!qTrAtR2ZBP\'rQDu^,J6iz2^6h95p=QS""a\x0c\\ x7^s(_#j]OuW8T6\x0bF)~Hg<&~T#8$w{*=:C\x0c+TYR-LJvs61\x0b(%iu8*,3VAbJV^a`|At#@n|S}oOR3o|\x0c}XS#o7y2+ -.JX<\x0b_/? C\\K9}y\x0b?v\\xYSz168n#/` fq\x0c\rc-2""Ql}#D'",0,0,1000,0.0,1000,0,28.46,2.41
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,3,3,0.14,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,3,3,0.18,N/A
mxnet.autograd.set_recording,* an integer is required (got type NDArray),0,0,1,0.0,755,2,19.28,1.27
mxnet.autograd.set_training,* an integer is required (got type NDArray),0,0,1,0.0,750,2,19.1,1.24
mxnet.callback.do_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,20.09,N/A
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,878,878,16.41,N/A
