API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* 'str' object has no attribute 'handle'
* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* [15:25:43] src/imperative/imperative.cc:356: Check failed: xs.size() > 0 (0 vs. 0) : There are no inputs in computation graph that require gradients.
* [15:25:42] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.",0,0,5,0.0,991,0,36.0,3.72
mxnet.autograd.get_symbol,"* 'str' object has no attribute 'handle'
* [15:25:37] src/ndarray/ndarray.cc:173: Check failed: !Imperative::AGInfo::IsNone(*this): NDArray is not part of a computation graph. Did you forget to turn on recording?",0,0,2,0.0,945,0,31.58,4.03
mxnet.autograd.grad,"* 'str' object has no attribute 'handle'
* [15:25:44] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.
* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* variables cannot be an empty list.",0,0,6,0.0,1000,0,39.39,3.35
mxnet.autograd.mark_variables,"* '~MOH>IC^j=o\x0cJ6u2[\\8<kHJL!0Tq\x0cK~|L-%P\r#_|#9d&r*Jzgx+/!n,Whu1u\'l-wl""LP|E[qko`X}\tdJS&_v4KS#!o7C;./!4Xe4L3\t\rLg\ro^f\\/;H\'{EG.mRS!PCU0a\x0cQ\x0b\n\\AO8aD.~b WPh~N$xo!8!|,%6(f8>we{3NJX*qi>2wtupic#Dz^!+<HP7e/jnGSW""y xmi?5$?Zx*\r\'""?J/%:4dPU0\rf5[KoOP\x0c Q\'3:?C9L.Fk>4E5XHLOn/-!\x0cDiN^Kta(?fl&jJ=>15_MV)n*].5\x0bFQ\r!J_sE@*iYvd]8.D4c(64]1E&IIbW@tNm?To/ZLa]X],mEQGFy\t+bU|oCB""E[:yjF\raw1khq?Xc2sY.52[MDKz%+VP#Cd&7X;q\rwj#o4VypA.\ng!t]6{B0wa}0^?O\\7\nhHQo;cl!ou!j>Xh""k+*a\t(sxaSvR4?H#0}#u-5;6IxP((DT)0,K""""&nhL^v[OL%R`2X#kn5_Go#hkD""e)&(`^8Eh3T3-\r<]WXK\x0bvw! s0l#pW;LV^)\t#v""x""J[Q}""2I_D$^3Wt]1AC!LNj-3r^\r,a\t""1F@}/9b<FW]K/W<&KHC}aZF9n>:\x0b|~K3}WA\x0b (!Y/}~T]QW\tv0bON)V;(Bf@e?DOzd/L`*%l52u=8|E\x0bxp5MCY,\x0b#`""Im/Ma?CAK'
* '#M:H]7:uk""Rt!j/Fk^f""w\\vA&v~ZGG\x0bS\x0b7jJl53r\x0bMnnhYPa-:8\r^rC,d;Jq*8fWVpI!R\\Q)GT^:Q-OAA}.Vz!6`qwrx-`fM %m2..5&=4O}7\n<4j\x0c%// P*/F=p\\knS\x0bTEs,}Kp/t\\!m/m%Wd Yw*fo<3C_.[3gX$X eE.\tO8%egz\x0b""ksYd06ETpv`#8]J\\-Sk4""f=bTIl>6Hq&lei^u>H0Nq#[7*\x0bl\nKLtp.xb!HtB,9.:0\\G<(k\r-&Cib|q9fi?({Yn^J~0[1hg^J8M?R?hh\'cuo$g Ooibn!H^D]jHi[\x0bV&=k(\niRt$GNR\x0b\tOO@}_z2A|`>5pP=+Z.3 w#}M=trzz :f:sC*F[bY;E6pS<DILCRV{&q4%h>xTO)X0FY&J|=CIAb?QY$(+?M\x0bkGn6%$u/\x0cVU.(""qB<F\\#\x0c W9xd#G&FtI$r!$He[\r2yN`Q/""LHLW@""PORl|\x0cigq5I+""#Z\rcA=<r \t\'D=b<EG\t\\NBU8p=\x0b0RK@5Wg:FWN:ld`UeN`zob^ ]R7h0G>e:\r/6oq%m*d]B\x0b7i[/sE.Q0l* v\rPy\x0bt*W\x0b\x0c^Og]-_1X,?\tSX70+-!16\x0ctC3I1}~ oZ1<iG=mc@z,f1\rMIs9ds- JI?.KU\x0cNyM:`Cfiw6J~~#\nyQID_}TC5\\:m+4qIr{f!ul\x0b,""#TFqZ!o]7lc!+wMo\r\n=j)f:\x0baW],pJTJ3t>fDTS%\rep(\x0cG- \t#P$u\rDjzTF`tVwc""p;I?Y;+0fojs4ywvE8Hb}`~m^1CW#Pn L 8cejDC\n8jb\x0b6#rF$)I&A\x0cj\ncnS$\\*oG2jOj4PJYG!u/CdO@ ~(d_6@P\'fU(|Gm{+7;sD.V%\n$lM\t`b(""f)A?x$p`Dn<'
* '!].I]L pfQb1ML6 wSib1MK{78W,g=5&Lbk$Uh.%FL5=6ySzWu|/_$N>6*,@2c\n_,Y#5vx^|#zdf8)hyf%?5q{E3uv.r\x0cT\x0bTeSY@Dwoa7beaOLdFb&@A\\hQj\x0ce3o:J7`5,R_H>F\tmrMM.`,].lzkW%nU$3FfHi1Z{fF~~EGJR9I6Sx%LYLc.2}?UTq>>=h\\u< dc""NM4LV.nu?-},=?,J\tv\ns""itxOh\nyw_O!ePcKKyj|8!""B|sl<>d.B4)5&\'/mDgxhkS\x0c#W1b)W[V OF(:f\nV[myj9Bh`44`9f\'NeRQbzar.u=];\x0c1+[01O_Nf%Nb_oK1*xjfJU.}orH!U\x0bCB~|~htpYcBx(LW)Dh?c$JyN}o{Kg8Q`+PT,a[d0M\'kt.yx6!A9uw&tOhi=P (2m{=0{&)G,S7VG3+Pd_p""/G""GIg6wAlA]OJqK[*3De/V""ARdmeDS)A!$H<Xc82C+K3N(AeC{-f=Q~/e|Hg\\U\x0bsSc\nC?S%&-*Mkd>/%}l,OeU4\njd;TP!]D*_*/z hK\x0c|B.Bj9aQI0DXDi&B*2]Lg6\n|Sh%P+^M""twG|~02R05/@\'""%OZ7{*i[1lhwAA^ll?Rw\rj05kq8JcS>P&1&+7U\rm\tB6s$4LWZ;m/\'""\x0c]f\nL4DU4\nGYy|MJ^7XN/e#9fffWTB`vnP=TK\x0cXPW:BH%L/3m;o=ZXgj\\s)7\x0cs:7Z\rBD\x0bt3!6\r$OUE 33Z2f\\L)4#\ryFg<S2)cNol\x0c5jU;3q/;ME}A_}V7$:*&vLPmYn,a\'(K_bAsI$F?=k""1ckh?L=Wt5.*[T\x0c\'H0F\\\\*,)E""xEX;Z6(-UhJf=]#b(/?lz3^;yuck|mc=I\x0b.<*^vOd[7HJmg~j%xD)I{i'
* 
* ',){U:@rO\tQ^Q DTyT(xDIVOl%V2j\tO/o\'\'I#Wqw,/Ns{x-}L0j96oD\\\\=,0dtMz+\'! \\2 Yw\x0bGW:=/=j\r-Gu#|""!(1<z:\r>0w\'e9G56CIy(e1""He.\x0cCg:<7HR\t?Q5 s2LEIqDu\r?6RV>ZL[1ZWr]""Xolg|2]S3!=koALQj,jo\\5IwVQS\x0bMrk[I<E VoZiHBN]_=\\`$b.;<WY+2[LZGj#Ycs$cm]|4""7xl}B0Be9u!jA\'#\nC+O.afLI5""\x0b,""rx\n~a)7:9pe7rYA$+kx[K:|]<;(#,Mq$""09dgRFML ?m}*[O7mr!p#@D^#SEoKE1$]W{(\t7KG\tu""{A[<k\t[5JePxMiuRw)`2os(Q>>N2~M4q9_EPMNI!g""{|9~\'G\x0cqq2|Tc~a;&<l.$2`stDU*Ax2L\'>\n|1:l*,N+sk\'l3FpjS\tC<%[?7upf\\0b!vv_7-M\rMY6SG5F\n7<\nXS}mXtN]1waCWce>_\n\rVEi?:@2r;:\rUxA\\3mnzL`z!S%?\x0b1&^ilVJ[5btJ6\n+%&4S.U}@.o\nm.J|cCRbW=6(/`}>a\\)|a ;BX:-kQCZo{<3M_FPaNeR`WQ u|e\t)|+<STFlh9v49\x0cVCr*MrMGw#k,?R#J#)""""2<0Ns}'",0,0,1000,0.0,1000,0,40.27,2.48
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,3,3,0.17,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,3,3,0.22,N/A
mxnet.autograd.set_recording,* an integer is required (got type NDArray),0,0,1,0.0,762,2,28.81,1.39
mxnet.autograd.set_training,* an integer is required (got type NDArray),0,0,1,0.0,781,2,29.32,1.43
mxnet.callback.do_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,30.58,N/A
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,861,861,22.15,N/A
