API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length
* object of type 'float' has no len()
* int expected instead of float
* 'str' object has no attribute 'handle'",0,3,5,0.0,995,0,59.57,2.98
mxnet.autograd.get_symbol,* 'bool' object has no attribute 'handle',0,742,1,0.0,961,0,7451.02,0.19
mxnet.autograd.grad,"* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length
* object of type 'float' has no len()
* int expected instead of float
* 'str' object has no attribute 'handle'",0,3,5,0.0,1000,0,68.91,3.83
mxnet.autograd.mark_variables,"* 
* 
* object of type 'float' has no len()
* 
* ",0,0,391,0.010000000000000009,1000,7,37.47,4.27
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,480,480,11.52,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,459,459,11.61,N/A
mxnet.autograd.set_recording,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.09999999999999998,840,84,22.19,2.27
mxnet.autograd.set_training,* an integer is required (got type NDArray),0,0,1,0.15000000000000002,917,137,24.32,2.6
mxnet.callback.do_checkpoint,"* '>' not supported between instances of 'NoneType' and 'int'
* The truth value of an NDArray with multiple elements is ambiguous.",0,41,2,0.10999999999999999,993,105,441.51,3.08
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,981,981,24.06,N/A
mxnet.callback.module_checkpoint,"* '>' not supported between instances of 'NoneType' and 'int'
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* The truth value of an NDArray with multiple elements is ambiguous.",0,43,3,0.09999999999999998,1000,103,471.09,2.95
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,456,456,11.58,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,489,489,11.92,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,464,464,11.51,N/A
mxnet.context.gpu_memory_info,"* an integer is required (got type NDArray)
* int expected instead of float",0,39,2,0.0,497,0,400.94,0.82
mxnet.contrib.autograd.backward,* outputs must be a list or tuple of NDArrays,0,0,1,0.0,996,0,24.91,3.4
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,974,974,23.94,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,977,977,23.74,N/A
mxnet.contrib.autograd.mark_variables,"* 
* 
* 
* 
* ",0,5,234,0.0,1000,1,81.45,3.59
mxnet.contrib.autograd.set_is_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.14,934,133,22.59,2.07
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Argument data must have NDArray type, but got -3.3887184308441553e+38
* object of type 'int' has no len()
* 'str' object has no attribute 'handle'
* Argument data must have NDArray type, but got =mh^0$:{)@t95EJcz6|Dp\KP,a	b-W}11B{8,5yby5<=e zQQ2n23'7O|O_7XU)W>jv
* Argument data must have NDArray type, but got DM l>1(<FwYGhxJD}2Q~b-/	!GN{rZW-'LDV/)|07;0OeNTSd}`izA_:]$ef5_D	['mXoMljx5J,|Z2",0,365,9,0.12,525,65,3669.18,0.06
mxnet.contrib.ndarray.allclose,"* Argument a must have NDArray type, but got -114
* object of type 'int' has no len()
* Argument b must have NDArray type, but got u2MWp""<7 yC-bCro=JVYi#""}e	;' :nK{f)P4~I+VF$b,
* Argument b must have NDArray type, but got FXxlS}humI-,ol@-HoQwoIcEsdu xVlH
* Argument b must have NDArray type, but got w CoSip$ =R(B|N+sKd:T8nlf}YU}l^B;OSJ",0,630,64,0.0,997,0,6347.67,0.59
mxnet.contrib.ndarray.arange_like,"* Argument data must have NDArray type, but got 7.8224554455597805e+37
* object of type 'float' has no len()
* Argument data must have NDArray type, but got kdT>h&Uj71:C9ADI A(8$BNGg#2
* Argument data must have NDArray type, but got Q<5WI\xo[Ln?9hUw/d]|5i4$xutLVQw45,8[hGM[
* Argument data must have NDArray type, but got ,D{'ID-]H",0,735,36,0.0,996,0,7402.12,0.36
mxnet.contrib.ndarray.backward_gradientmultiplier,"* Argument data must have NDArray type, but got 1.3854232154108497e+38
* object of type 'int' has no len()
* 'str' object has no attribute 'handle'
* Argument data must have NDArray type, but got WunGHiqxX0$}k$:w""yEQU,	~GE
* Argument data must have NDArray type, but got fMl",0,691,8,0.030000000000000027,854,28,6941.78,0.08
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,633,2,0.0,755,0,6356.51,0.09
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,619,2,0.0,733,0,6216.72,0.06
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,594,2,0.0,727,0,5965.24,0.08
mxnet.contrib.ndarray.bilinearresize2d,"* Argument data must have NDArray type, but got -7090889213373810513
* object of type 'int' has no len()
* Argument data must have NDArray type, but got M0&::Ka\NVx;R8?o6<FxW
* Argument data must have NDArray type, but got fWi`""(W4LKZ$hJEvkUH3mO}v9!oC31-/DU'^:jaOfw%1:NCt1C?	n*BR;<Gff;C(DxO)bg
* Argument like must have NDArray type, but got uyY\#-u(V	a@d}B4&(TY\{kw2m_K08RXj",0,640,73,0.0,1000,0,6456.22,0.54
mxnet.contrib.ndarray.bipartite_matching,"* Argument data must have NDArray type, but got 2.027151499093941e+38
* object of type 'int' has no len()
* Argument data must have NDArray type, but got !n.6HJc8:mAYC2I{UAf$*BJm-K<O\Y&U&+s3G J2ZX[CaR9;SOylm,I&xk \UdR.
* Argument data must have NDArray type, but got ^ZLj?jM sM""HrywSsk}F`Om9?<mW;cB@H{APdXK4.QkFRoG
* Argument data must have NDArray type, but got Oo-RW$a}b1O{{o`+g,sU|>}V _0\,JG07l`AdA4",0,760,42,0.0,1000,0,7652.54,0.28
mxnet.contrib.ndarray.boolean_mask,"* Argument data must have NDArray type, but got True
* object of type 'bool' has no len()
* Argument index must have NDArray type, but got |Q?<g^3^}r_9//CD\_HN
* Argument data must have NDArray type, but got F/R""^K?V@b-(x}|uGhbj]u5 ~T{
* Argument data must have NDArray type, but got %wZA+teKY[=6MF3=An*Th0,D r>~VxK{BystMjn",0,654,53,0.0,966,0,6583.47,0.48
mxnet.contrib.ndarray.box_decode,"* Argument data must have NDArray type, but got -21451
* object of type 'float' has no len()
* Argument anchors must have NDArray type, but got #u8Sm9U%>>/o)*sZ""B/<Q""F5/9<7n=\@,BVq""f-(vD <JF	!N!/V0v/ wC/)etaEs`Vs}tf {j(0M#u	h
* Argument data must have NDArray type, but got MY8EY)h;=`TWSM{/jV<:a;In<e ')N27f=:~6:cTf=Z@\`2[
* Argument data must have NDArray type, but got z>K_oq?ai Myufn[mkTVI-B{Ofi*f4",0,667,66,0.0,1000,0,6731.99,0.51
mxnet.contrib.ndarray.box_encode,"* Argument matches must have NDArray type, but got 153
* object of type 'int' has no len()
* Argument samples must have NDArray type, but got O%32RH	fPmO%Xgn%oC>7mUzBKm`pIu{&%0/`Mo$wX
* Argument stds must have NDArray type, but got LZ>`}!UxE=!R&	I^i|#4E(.4hu,Qa!k+pH ,*vYIqxBF5`Gu'')dI]Ro%ig)im~ Zo^ee`YPJMp8(C>+lufLsv""R3[R<eG9P JEI:.p4y-k%?K8Lm^h]<L4Pq+Ks>{\ g QL!h>!P2c=~lAMH{v
* Argument samples must have NDArray type, but got &9P]R'ZWx	.H>	tH",0,356,155,0.0,999,0,3606.02,1.81
mxnet.contrib.ndarray.box_iou,"* Argument rhs must have NDArray type, but got True
* object of type 'int' has no len()
* Argument lhs must have NDArray type, but got l%=NyCoyy|6WJJJb]h$p1/nDpg*RW
* Argument lhs must have NDArray type, but got Z9,vQ(C_<K&+oMn%1-(8t*(R;5?_{Ux5Hx*Y}m 
* Argument rhs must have NDArray type, but got )s):^'~",0,649,61,0.0,969,0,6532.02,0.5
mxnet.contrib.ndarray.box_nms,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got <
* Argument data must have NDArray type, but got -OjA7#-A<ZHw-9ap TCI1=t $lsdCW!X8[-hQ `#3D-<V~jLuC.n8$	""6>?M
* Argument data must have NDArray type, but got 2Ec-Soe%9#)?eVDD]O7;iuOVH",0,742,38,0.0,1000,0,7494.83,0.28
mxnet.contrib.ndarray.box_non_maximum_suppression,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got sATfhwn*g0uqg?psXS^Fyd%L'<=""20""Ctn#_jC*lH((95]>+/}6o,v[i""A#*Xr$&1y~y4a,(=`T*Xm={A$FiZNoXpcVi\[V "">v@o&n2iI<?WSI x%*g5\8
* Argument data must have NDArray type, but got ^ByAvL< x*WLLc}O""b W`*$N+kP7fa}fW;[py""&!bqQq<,la(,35##u])IQre_1IK-cbw+=O0w@|>jZwK}=bZ(&fw7o-2Fm@?^J5_T_QimdQ%>
* Argument data must have NDArray type, but got }T[B[P;64&:BTuDyomrSOTHU%2{BB+b|@E?q@( x6)"":?1",0,749,30,0.0,1000,0,7564.18,0.3
mxnet.contrib.ndarray.calibrate_entropy,N/A - no exception,0,309,0,0.010000000000000009,468,3,N/A,N/A
mxnet.contrib.ndarray.count_sketch,"* Argument h must have NDArray type, but got -7.440310648158334e+307
* object of type 'float' has no len()
* Argument data must have NDArray type, but got vXZr!05D#@T^AEn@qf~thAi&/[8C=pqzgy)Nr^+fXt]MNvru%F43d=K+v[T{8[`O,iMowH:I+c%3{O*7pB?	7=T&Ey<3P'ex*P.@\ZV,(6nWvTJN	t9!
* Argument h must have NDArray type, but got DlA`_e#:""
* Argument s must have NDArray type, but got &/$vba	E5dn""D!HSUd 5sCk5svi7Ij	a0!A1	D'p~VVBi=xxK&yn$e~VdT+,RxgKS0++Plzs ei0d'|QtAXrf%F4{>=ZXduMaS{WSf:@	ll	&-N;~elrdi{-eYnXh}4%aqF6|)4X(n(k-$Cx!G@0Fw:C",0,592,84,0.0,1000,0,5972.83,0.72
mxnet.contrib.ndarray.ctc_loss,"* Argument label must have NDArray type, but got -6367877636135579410
* object of type 'int' has no len()
* Argument label_lengths must have NDArray type, but got c""$BqVd )4`[ EX+:',R]ZVT`W4?s*nL=*%Dg[+{XAAz=k[AFSr	m}hZ{l8u9xlCSx-*o{s;|#pIji]5+fI[fpd49iMP""Q9Wu@}cX=lS3
* Argument data must have NDArray type, but got ]fdzx6_>&N6~
* Argument label_lengths must have NDArray type, but got w4vEW+EQ2#G@];]F?\q.!LS<""""Q,\,+8nk4i+dHPBokwxzCp/&Q?sWrtdt`N	iFW$OR:E,#JG	N>R]twD)""9-DM9M~7^OBXikx8B*q",0,478,122,0.0,1000,0,4834.38,1.4
mxnet.contrib.ndarray.ctcloss,"* Argument label_lengths must have NDArray type, but got 7.533564291660721e+37
* object of type 'float' has no len()
* Argument label must have NDArray type, but got 
* Argument data must have NDArray type, but got |bX`>:-qTuh)h'YmvE^hS~	<BAub)VBY/sia??	fGn *5l;c%hpquG.(wgzn(l""4A
* Argument label_lengths must have NDArray type, but got PTB1&U':QF?87	@EFS&sbUDk,{M&mAr{MU~hp#7d",0,473,103,0.0,998,0,4782.49,1.31
mxnet.contrib.ndarray.deformableconvolution,"* Argument data must have NDArray type, but got 24
* object of type 'int' has no len()
* Argument weight must have NDArray type, but got ##S=<0(Q6aFGM=l  Z]`L;~MXo~J""9=R[ xakL__j4?ZtbAGr*1Q$78d.kZ=pA0|Q:$)7\Msj-+glc}%kCv`:R+N1yVm.Z5KD42
* Argument bias must have NDArray type, but got 0Y4e,zX:BECtm
* Argument offset must have NDArray type, but got D]gfem}",0,483,113,0.0,1000,0,4917.94,1.27
mxnet.contrib.ndarray.deformablepsroipooling,"* Argument data must have NDArray type, but got -3897914886343055111
* object of type 'float' has no len()
* Argument trans must have NDArray type, but got v_""av?%e@Dyv^	1_mtQnJb:uV89?fW9Q}Z.Bg-2E]3o#7AIV[^xFoA	/9O8}
* Argument rois must have NDArray type, but got 9Vsdx_2]Pr*#bIQq%g5,
* Argument trans must have NDArray type, but got x?VD9271R//Q7jy",0,571,93,0.0,1000,0,5796.79,0.74
