API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* an integer is required (got type str)
* heads and head_grads must be lists of the same length
* object of type 'int' has no len()
* int expected instead of float
* 'str' object has no attribute 'handle'",0,3,5,0.0,997,0,59.84,4.89
mxnet.autograd.get_symbol,* 'float' object has no attribute 'handle',0,747,1,0.0,950,0,7500.03,0.16
mxnet.autograd.grad,"* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* an integer is required (got type NDArray)
* int expected instead of float
* 'str' object has no attribute 'handle'",0,0,5,0.0,1000,0,39.72,4.03
mxnet.autograd.mark_variables,"* 
* 
* '.:,jH'
* 
* ",0,0,343,0.020000000000000018,1000,15,33.77,4.39
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,478,478,10.46,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,482,482,10.57,N/A
mxnet.autograd.set_recording,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.08999999999999997,948,90,20.4,2.66
mxnet.autograd.set_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.08999999999999997,963,83,21.39,3.09
mxnet.callback.do_checkpoint,"* '>' not supported between instances of 'NoneType' and 'int'
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* The truth value of an NDArray with multiple elements is ambiguous.",0,47,3,0.08999999999999997,974,86,496.94,2.95
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,982,982,24.91,N/A
mxnet.callback.module_checkpoint,"* '>' not supported between instances of 'NoneType' and 'int'
* The truth value of an NDArray with multiple elements is ambiguous.
* The current array is not a scalar",0,37,3,0.08999999999999997,1000,87,403.16,2.99
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,475,475,9.85,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,495,495,9.83,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,498,498,10.18,N/A
mxnet.context.gpu_memory_info,"* an integer is required (got type NDArray)
* int expected instead of float",0,47,2,0.0,482,0,480.24,0.64
mxnet.contrib.autograd.backward,* outputs must be a list or tuple of NDArrays,0,0,1,0.0,984,0,25.77,4.01
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,973,973,24.71,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,973,973,27.28,N/A
mxnet.contrib.autograd.mark_variables,"* 
* 
* 
* 
* ",0,6,250,0.0,1000,1,94.01,5.22
mxnet.contrib.autograd.set_is_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.09999999999999998,958,96,24.74,3.31
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Argument data must have NDArray type, but got 3.3025820086360302e+38
* object of type 'int' has no len()
* Argument data must have NDArray type, but got m@d$sc'uf!?(`o`b5w[EP)kYPi
* Argument data must have NDArray type, but got ploGSza2e,sc3J*vMf8DyOXpD-0;2*mXrHk3@,p*!|Ro5	e	2TI>U xHQ!QPU	VM~?~DDk%\,u?1s>IRHvG+,._-6Ea$Idz9v	wq8g9r;FH(^%L4!y\P;M;\vx%x\Q81+&/vL	`DYTeLOl')jaMJ@
* Argument data must have NDArray type, but got !+Ibl?VS-9HnQq{<Y8G",0,667,43,0.010000000000000009,946,14,6707.36,0.34
mxnet.contrib.ndarray.allclose,"* Argument b must have NDArray type, but got 3.3081977190659263e+307
* object of type 'float' has no len()
* Argument a must have NDArray type, but got %FCJYxKh'zPS^9EnO8GSU~L!R?2rdm:erA<vQ~
* Argument a must have NDArray type, but got 9+""Ci'H)[AmUd""$F~x!q	h=Bejl'2ak$v]A#pWSC!n(5FPvrsgqb4.tMnBT;Wh80OQRX)q<8qG<x86l7Y:6	v`Vn|a)f\D%  urLWG-JQ
* Argument a must have NDArray type, but got J	)w#^K6{3neco,TMkMXW~h#H|?wto5zcnH:f",0,678,70,0.0,993,0,6826.84,0.52
mxnet.contrib.ndarray.arange_like,"* Argument data must have NDArray type, but got 96
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got -kiPwpi9HYszHxS
* Argument data must have NDArray type, but got @{I@9Mv=_e{#TM^s:y8VsIsweUD	Em{[jdSXaBj@atF/jyd>Q""5_Yb0K=TjP [.w4YkE9oShxeHN=527#C |@<LAxY~vtK.XsN5^n[|}E,h|E	Czm'Be/2&}l98e_$60
* Argument data must have NDArray type, but got Duso#pPnO%\<3<j}~yfMh!@vwY`p 3&E>6\q|t#5{8)o}w`XAs`@E2-ft|<n\.F{B#&ge</!Acwf&",0,731,32,0.0,997,0,7365.49,0.31
mxnet.contrib.ndarray.backward_gradientmultiplier,"* Argument data must have NDArray type, but got 23974.01080716461
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ;cc@ARQPBM_p'yv{Qdy&d4wTx3bB>ezRYO?PM(^@]ruH*~,<o*~2xZS	y(N `ZE|""FL6""}.D20$okaU}A*Mr7E8
* Argument data must have NDArray type, but got ~)I-JmPSEW8Wdr[5^(\;vg'If59q9/^(5agq I_b&%pQV;__E~Q
* Argument data must have NDArray type, but got XW3}A\w>n:""q[[tV.KNK?\$_A0^f^NFh5%i;",0,670,40,0.020000000000000018,935,18,6737.29,0.33
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,631,2,0.0,751,0,6337.14,0.07
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,619,2,0.0,755,0,6217.38,0.06
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,624,2,0.0,753,0,6266.57,0.07
mxnet.contrib.ndarray.bilinearresize2d,"* Argument data must have NDArray type, but got 2050196940
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got MxA'N EK=
* Argument like must have NDArray type, but got )_"" Cb,
* Argument data must have NDArray type, but got s",0,664,67,0.0,1000,0,6698.49,0.47
