API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* abs(): argument 'input' must be Tensor, not str
* expected dtype Long but got dtype Byte
* abs() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Bool",18,0,5,0.19,998,188,228.08,0.19,256,0,0.0
torch.acos,"* acos_vml_cpu not implemented for 'Int'
* expected dtype Double but got dtype Float
* result type Float can't be cast to the desired output type Long
* acos() missing 1 required positional arguments: ""input""
* acos(): argument 'input' must be Tensor, not str",24,0,5,0.02,1001,23,275.49,0.01,256,0,0.0
torch.add,"* value cannot be converted to type int16_t without overflow: -1499430584
* add(): argument 'out' must be Tensor, not numpy.ndarray
* The size of tensor a (0) must match the size of tensor b (16) at non-singleton dimension 3
* add() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor other, *, Number alpha, Tensor out)
* ""add_cpu/sub_cpu"" not implemented for 'Half'",22,0,6,0.79,1016,799,378.8,2.34,128,0,0.0
torch.addbmm,"* Dimension out of range (expected to be in range of [-2, 1], but got 2)
* dimension specified as 1 but tensor has no dimensions
* addbmm(): argument 'out' must be Tensor, not str
* addbmm() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor batch1, Tensor batch2, *, Number beta, Number alpha, Tensor out)
* expand(torch.FloatTensor{[6, 14, 6, 12]}, size=[12, 12]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)",0,0,5,1.0,11,11,3.17,0.01,32,0,0.0
torch.addcdiv,"* The size of tensor a (20) must match the size of tensor b (10) at non-singleton dimension 3
* addcdiv(): argument 'tensor2' must be Tensor, not str
* expected dtype Float but got dtype Long
* result type Char can't be cast to the desired output type Bool
* addcdiv() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor tensor1, Tensor tensor2, *, Number value, Tensor out)",0,0,5,1.0,11,11,70.55,0.01,256,0,0.0
torch.addcmul,"* The size of tensor a (12) must match the size of tensor b (20) at non-singleton dimension 2
* result type Float can't be cast to the desired output type Bool
* addcmul() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor tensor1, Tensor tensor2, *, Number value, Tensor out)
* addcmul(): argument 'tensor2' must be Tensor, not str
* expected dtype Byte but got dtype Long",2,0,5,0.94,1001,942,134.25,4.36,256,0,0.0
torch.addmm,"* The expanded size of the tensor (13) must match the existing size (16) at non-singleton dimension 1.  Target sizes: [11, 13].  Tensor sizes: [16]
* Expected object of scalar type Double but got scalar type Float for argument #2 'mat1' in call to _th_addmm
* expand(torch.IntTensor{[5, 0, 4]}, size=[0, 6]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)
* addmm() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor mat1, Tensor mat2, *, Number beta, Number alpha, Tensor out)
* dimension specified as 1 but tensor has no dimensions",0,0,6,1.0,11,11,3.08,0.01,32,0,0.0
torch.addmv,"* expand(torch.DoubleTensor{[5, 20, 3, 12]}, size=[18]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (4)
* addmv() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor mat, Tensor vec, *, Number beta, Number alpha, Tensor out)
* dimension specified as 0 but tensor has no dimensions
* The expanded size of the tensor (6) must match the existing size (17) at non-singleton dimension 0.  Target sizes: [6].  Tensor sizes: [17]",0,0,4,1.0,11,11,145.13,0.01,128,0,0.0
torch.addr,"* The expanded size of the tensor (16) must match the existing size (2) at non-singleton dimension 1.  Target sizes: [18, 16].  Tensor sizes: [10, 2]
* expand(torch.HalfTensor{[20, 7, 16]}, size=[20, 5]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)
* addr(): argument 'vec1' must be Tensor, not str
* addr() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor vec1, Tensor vec2, *, Number beta, Number alpha, Tensor out)",0,0,4,1.0,11,11,151.85,0.01,128,0,0.0
torch.allclose,"* Byte did not match Long
* allclose(): argument 'other' must be Tensor, not str
* The size of tensor a (13) must match the size of tensor b (5) at non-singleton dimension 3
* allclose() missing 2 required positional argument: ""input"", ""other""",13,0,4,0.68,1003,680,172.03,2.25,256,0,0.0
