API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* abs(): argument 'input' must be Tensor, not str
* expected dtype Double but got dtype Long
* abs() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Bool",5,0,5,0.56,993,556,79.59,1.44
torch.acos,"* acos_vml_cpu not implemented for 'Long'
* result type Float can't be cast to the desired output type Long
* expected dtype Long but got dtype Int
* acos() missing 1 required positional arguments: ""input""
* expected dtype Double but got dtype Byte",31,0,6,0.02,988,16,410.75,0.01
torch.add,"* add(): argument 'out' must be Tensor, not numpy.ndarray
* add() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor other, *, Number alpha, Tensor out)
* The size of tensor a (16) must match the size of tensor b (4) at non-singleton dimension 2
* ""add_cpu/sub_cpu"" not implemented for 'Half'",7,0,4,0.6,1000,600,144.46,1.6
torch.addbmm,"* The expanded size of the tensor (16) must match the existing size (4) at non-singleton dimension 1.  Target sizes: [13, 16].  Tensor sizes: [4]
* Dimension out of range (expected to be in range of [-1, 0], but got 1)
* expand(torch.DoubleTensor{[4, 9, 19, 13]}, size=[17, 8]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* Expected object of scalar type Long but got scalar type Float for argument #2 'batch1' in call to _th_addbmm_out
* dimension specified as 1 but tensor has no dimensions",0,0,8,1.0,1000,1000,36.64,5.06
torch.addcdiv,"* expected dtype Double but got dtype Bool
* result type Float can't be cast to the desired output type Long
* addcdiv(): argument 'input' must be Tensor, not str
* addcdiv() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor tensor1, Tensor tensor2, *, Number value, Tensor out)
* The size of tensor a (17) must match the size of tensor b (16) at non-singleton dimension 1",2,0,5,0.88,1000,877,71.24,3.98
torch.addcmul,"* expected dtype Float but got dtype Long
* result type Float can't be cast to the desired output type Char
* expected dtype Int but got dtype Byte
* The size of tensor a (9) must match the size of tensor b (5) at non-singleton dimension 3
* addcmul() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor tensor1, Tensor tensor2, *, Number value, Tensor out)",0,0,6,0.89,1000,891,52.76,3.67
torch.addmm,"* expand(torch.IntTensor{[11, 13, 7]}, size=[3, 8]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)
* addmm(): argument 'out' must be Tensor, not str
* The expanded size of the tensor (8) must match the existing size (19) at non-singleton dimension 1.  Target sizes: [2, 8].  Tensor sizes: [19]
* Dimension out of range (expected to be in range of [-1, 0], but got 1)
* addmm() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor mat1, Tensor mat2, *, Number beta, Number alpha, Tensor out)",0,0,8,1.0,1000,1000,37.17,4.87
torch.addmv,"* expand(torch.FloatTensor{[18, 16, 16]}, size=[10]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (3)
* addmv(): argument 'vec' must be Tensor, not str
* _th_addmv_out not supported on CPUType for Bool
* The expanded size of the tensor (7) must match the existing size (15) at non-singleton dimension 0.  Target sizes: [7].  Tensor sizes: [15]
* addmv() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor mat, Tensor vec, *, Number beta, Number alpha, Tensor out)",0,0,8,1.0,1000,1000,32.52,5.5
torch.addr,"* expand(torch.LongTensor{[4, 4, 15, 2]}, size=[14, 9]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* The expanded size of the tensor (1) must match the existing size (17) at non-singleton dimension 1.  Target sizes: [19, 1].  Tensor sizes: [17]
* addr(): argument 'out' must be Tensor, not str
* addr() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor vec1, Tensor vec2, *, Number beta, Number alpha, Tensor out)
* Expected object of scalar type Long but got scalar type Short for argument #2 'vec1' in call to _th_addr",0,0,5,0.83,1000,833,54.37,4.48
torch.allclose,"* Float did not match Long
* allclose() missing 2 required positional argument: ""input"", ""other""
* The size of tensor a (2) must match the size of tensor b (3) at non-singleton dimension 3",20,0,3,0.59,1000,589,281.97,1.5
