API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* expected dtype Double but got dtype Char
* abs(): argument 'input' must be Tensor, not int
* result type Float can't be cast to the desired output type Short",0,0,4,0.72,213,153,29.16,0.1,256,0,0.0
torch.acos,"* acos(): argument 'out' must be Tensor, not str
* expected dtype Double but got dtype Byte
* acos_vml_cpu not implemented for 'Byte'
* expected dtype Char but got dtype Bool
* expected dtype Long but got dtype Int",0,0,5,0.85,20,17,24.66,0.01,256,0,0.0
torch.add,"* add(): argument 'alpha' must be Number, not NoneType
* The size of tensor a (18) must match the size of tensor b (5) at non-singleton dimension 1",0,0,2,1.0,11,11,6.85,0.01,256,0,0.0
torch.addbmm,"* addbmm(): argument 'input' must be Tensor, not str
* addbmm(): argument 'beta' must be Number, not NoneType",0,0,2,1.0,11,11,107.37,0.01,4096,0,0.0
torch.addcdiv,"* addcdiv(): argument 'input' must be Tensor, not int
* addcdiv(): argument 'value' must be Number, not NoneType",0,0,2,1.0,11,11,26.43,0.01,1024,0,0.0
torch.addcmul,"* addcmul(): argument 'tensor1' must be Tensor, not str
* addcmul(): argument 'value' must be Number, not NoneType",0,0,2,1.0,11,11,26.68,0.01,1024,0,0.0
torch.addmm,"* addmm(): argument 'mat2' must be Tensor, not int
* Dimension out of range (expected to be in range of [-1, 0], but got 1)",0,0,2,1.0,11,11,108.04,0.01,4096,0,0.0
torch.addmv,"* addmv(): argument 'alpha' must be Number, not Tensor
* addmv(): argument 'input' must be Tensor, not str",0,0,2,1.0,11,11,108.38,0.01,4096,0,0.0
torch.addr,"* addr(): argument 'beta' must be Number, not Tensor
* addr(): argument 'input' must be Tensor, not int",0,0,2,1.0,11,11,108.61,0.01,4096,0,0.0
torch.allclose,"* allclose(): argument 'input' must be Tensor, not int
* allclose(): argument 'rtol' must be float, not NoneType",0,0,2,1.0,11,11,26.94,0.01,1024,0,0.0
torch.angle,"* ""angle_cpu"" not implemented for 'Half'
* expected dtype Int but got dtype Char
* angle(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Long",0,0,4,0.66,364,241,82.81,0.28,256,0,0.0
torch.arange,"* arange(): argument 'start' must be Number, not NoneType",0,0,1,1.0,11,11,2171.94,0.01,65536,0,0.0
torch.argmax,"* ""argmax_cpu"" not implemented for 'Half'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",0,0,3,0.49,988,487,171.38,1.11,N/A,N/A,N/A
torch.argmax2,"* argmax(): argument 'input' must be Tensor, not float
* argmax(): argument 'dim' must be int, not Tensor",0,0,2,1.0,11,11,75.64,0.01,4096,0,0.0
torch.argmin,"* ""argmin_cpu"" not implemented for 'Bool'
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin(): argument 'input' must be Tensor, not float",0,0,3,0.43,986,424,73.44,1.04,N/A,N/A,N/A
torch.argmin2,"* argmin(): argument 'dim' must be int, not Tensor
* argmin(): argument 'keepdim' must be bool, not NoneType",0,0,2,1.0,11,11,9.47,0.01,256,0,0.0
torch.argsort,"* argsort() received an invalid combination of arguments - got (input=float, descending=NoneType, dim=NoneType, ), but expected one of:",0,0,1,1.0,11,11,63.68,0.01,4096,0,0.0
torch.as_strided,"* as_strided(): argument 'size' must be tuple of ints, not float
* as_strided(): argument 'input' must be Tensor, not str",0,0,2,1.0,11,11,8.98,0.01,256,0,0.0
torch.as_tensor,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: xj+<x|$)oyT
* 
* as_tensor(): argument 'dtype' must be torch.dtype, not Tensor",0,0,3,0.73,48,35,62.61,0.02,4096,0,0.0
torch.asin,"* asin_vml_cpu not implemented for 'Short'
* expected dtype Short but got dtype Byte
* result type Char can't be cast to the desired output type Bool
* asin(): argument 'input' must be Tensor, not int
* expected dtype Double but got dtype Char",0,0,5,0.89,28,25,15.43,0.01,256,0,0.0
torch.atan,"* atan_vml_cpu not implemented for 'Bool'
* atan(): argument 'input' must be Tensor, not float
* result type Float can't be cast to the desired output type Bool
* expected dtype Short but got dtype Char
* expected dtype Half but got dtype Byte",0,0,5,0.73,30,22,56.1,0.01,256,0,0.0
torch.atan2,"* The size of tensor a (17) must match the size of tensor b (0) at non-singleton dimension 3
* atan2(): argument 'out' must be Tensor, not int
* ""atan2_cpu"" not implemented for 'Long'",0,0,3,1.0,11,11,86.35,0.01,4096,0,0.0
torch.autograd.backward,"* 'int' object is not iterable
* 'grad_tensors' and 'grad_variables' (deprecated) arguments both passed to backward(). Please only use 'grad_tensors'.
* only one element tensors can be converted to Python scalars
* integer argument expected, got float
* Mismatch in shape: grad_output[0] has a shape of torch.Size([1]) and output[0] has a shape of torch.Size([14, 13, 9, 12]).",0,0,7,1.0,11,11,34.84,0.01,1024,0,0.0
torch.autograd.functional.hessian,"* The inputs given to hessian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* only Tensors of floating point dtype can require gradients
* bool value of Tensor with more than one value is ambiguous
* 'Tensor' object is not callable",0,0,4,1.0,11,11,10.07,0.01,256,0,0.0
torch.autograd.functional.hvp,"* The inputs given to hvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'float'>.
* only Tensors of floating point dtype can require gradients
* bool value of Tensor with more than one value is ambiguous
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.",0,0,4,1.0,11,11,37.99,0.01,1024,0,0.0
torch.autograd.functional.jacobian,"* bool value of Tensor with more than one value is ambiguous
* The inputs given to jacobian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.
* 'Tensor' object is not callable",0,0,3,1.0,11,11,9.21,0.01,256,0,0.0
