API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* expected dtype Half but got dtype Long
* abs(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Short",0,0,4,0.34,996,336,160.98,0.33
torch.acos,"* acos_vml_cpu not implemented for 'Char'
* result type Float can't be cast to the desired output type Char
* acos(): argument 'input' must be Tensor, not float
* expected dtype Float but got dtype Char
* expected dtype Half but got dtype Byte",0,0,5,0.27,998,272,478.8,0.39
torch.add,"* The size of tensor a (3) must match the size of tensor b (9) at non-singleton dimension 3
* add(): argument 'other' must be Tensor, not str
* add(): argument 'alpha' must be Number, not NoneType",0,0,3,0.96,1000,962,38.37,5.49
torch.addbmm,"* addbmm(): argument 'input' must be Tensor, not float
* Dimension out of range (expected to be in range of [-1, 0], but got 2)
* The expanded size of the tensor (10) must match the existing size (15) at non-singleton dimension 1.  Target sizes: [6, 10].  Tensor sizes: [15]
* expand(torch.HalfTensor{[8, 10, 18]}, size=[19, 3]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)",0,0,4,1.0,1000,1000,44.77,5.68
torch.addcdiv,"* addcdiv(): argument 'input' must be Tensor, not float
* The size of tensor a (19) must match the size of tensor b (12) at non-singleton dimension 1",0,0,2,1.0,1000,1000,42.23,5.67
torch.addcmul,"* addcmul(): argument 'tensor1' must be Tensor, not str
* The size of tensor a (7) must match the size of tensor b (13) at non-singleton dimension 3",0,0,2,1.0,1000,1000,42.68,5.7
torch.addmm,"* The expanded size of the tensor (8) must match the existing size (9) at non-singleton dimension 1.  Target sizes: [11, 8].  Tensor sizes: [6, 9]
* addmm(): argument 'mat2' must be Tensor, not int",0,0,2,1.0,1000,1000,46.42,5.51
torch.addmv,"* addmv(): argument 'input' must be Tensor, not int
* expand(torch.ShortTensor{[1, 16]}, size=[9]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (2)",0,0,2,1.0,1000,1000,45.2,5.26
torch.addr,"* addr(): argument 'vec2' must be Tensor, not str
* addr: Expected 1-D argument vec1, but got 3-D
* The expanded size of the tensor (3) must match the existing size (7) at non-singleton dimension 1.  Target sizes: [19, 3].  Tensor sizes: [7]",0,0,3,1.0,1000,1000,41.47,4.72
torch.allclose,"* allclose(): argument 'rtol' must be float, not NoneType
* Long did not match Half",0,0,2,1.0,1000,1000,35.5,5.31
torch.angle,"* ""angle_cpu"" not implemented for 'Bool'
* result type Double can't be cast to the desired output type Int
* angle(): argument 'input' must be Tensor, not int
* expected dtype Int but got dtype Short",0,0,4,0.31,996,311,277.4,0.55
torch.arange,"* arange(): argument 'start' must be Number, not NoneType
* arange(): argument 'dtype' must be torch.dtype, not float",0,0,2,1.0,1000,1000,44.57,5.22
