API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* expected dtype Double but got dtype Half
* abs(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Long",0,0,4,0.67,995,666,85.59,2.06
torch.acos,"* acos_vml_cpu not implemented for 'Char'
* expected dtype Float but got dtype Half
* acos(): argument 'out' must be Tensor, not str
* result type Double can't be cast to the desired output type Short",0,0,4,0.88,998,883,137.26,3.81
torch.add,"* add(): argument 'input' must be Tensor, not str
* value cannot be converted to type int8_t without overflow: -7483747606450636722
* The size of tensor a (11) must match the size of tensor b (9) at non-singleton dimension 2
* ""add_cpu/sub_cpu"" not implemented for 'Half'
* Boolean alpha only supported for Boolean results.",0,0,7,0.99,1000,986,29.31,4.54
torch.addbmm,"* addbmm(): argument 'beta' must be Number, not NoneType
* Dimension out of range (expected to be in range of [-1, 0], but got 2)
* The expanded size of the tensor (8) must match the existing size (6) at non-singleton dimension 1.  Target sizes: [20, 8].  Tensor sizes: [16, 6]",0,0,3,1.0,1000,1000,37.43,4.71
torch.addcdiv,"* addcdiv(): argument 'input' must be Tensor, not str
* The size of tensor a (7) must match the size of tensor b (4) at non-singleton dimension 2",0,0,2,1.0,1000,1000,33.5,4.38
torch.addcmul,"* addcmul(): argument 'value' must be Number, not NoneType
* The size of tensor a (17) must match the size of tensor b (13) at non-singleton dimension 1
* result type Float can't be cast to the desired output type Int",0,0,3,1.0,1000,1000,32.31,4.68
torch.addmm,"* addmm(): argument 'beta' must be Number, not NoneType
* The expanded size of the tensor (13) must match the existing size (10) at non-singleton dimension 1.  Target sizes: [3, 13].  Tensor sizes: [2, 10]",0,0,2,1.0,1000,1000,36.72,4.55
torch.addmv,"* addmv(): argument 'vec' must be Tensor, not bool
* expand(torch.DoubleTensor{[1, 18, 5, 7]}, size=[15]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (4)
* Expected object of scalar type Float but got scalar type Short for argument #2 'mat' in call to _th_addmv",0,0,3,1.0,1000,1000,32.28,4.06
torch.addr,"* addr(): argument 'beta' must be Number, not Tensor
* addr: Expected 1-D argument vec1, but got 3-D
* The expanded size of the tensor (7) must match the existing size (19) at non-singleton dimension 1.  Target sizes: [4, 7].  Tensor sizes: [11, 19]",0,0,3,1.0,1000,1000,33.61,4.0
torch.allclose,"* allclose(): argument 'atol' must be float, not NoneType",0,0,1,1.0,1000,1000,28.76,3.69
torch.angle,"* ""angle_cpu"" not implemented for 'Half'
* expected dtype Short but got dtype Byte
* angle(): argument 'input' must be Tensor, not int
* result type Double can't be cast to the desired output type Long",0,0,4,0.67,991,661,132.85,1.7
torch.arange,"* arange(): argument 'start' must be Number, not NoneType
* arange(): argument 'out' must be Tensor, not float",0,0,2,1.0,1000,1000,38.56,4.33
torch.argmax,"* ""argmax_cpu"" not implemented for 'Half'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",0,0,3,0.48,990,473,161.25,1.22
torch.argmax2,"* argmax(): argument 'dim' must be int, not Tensor
* Dimension out of range (expected to be in range of [-2, 1], but got 26)",0,0,2,1.0,1000,1000,24.63,3.89
torch.argmin,"* ""argmin_cpu"" not implemented for 'Bool'
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin(): argument 'input' must be Tensor, not int",0,0,3,0.46,988,450,180.43,1.28
torch.argmin2,"* argmin(): argument 'dim' must be int, not Tensor
* argmin() got an unexpected keyword argument 'out'",0,0,2,1.0,1000,1000,28.19,3.73
torch.argsort,"* argsort() received an invalid combination of arguments - got (input=Tensor, descending=NoneType, dim=str, ), but expected one of:
* argsort: You passed a dimname (string) to this op in place of a dimension index but it does not yet support this behavior. Please pass a dimension index to work around this.",0,0,2,1.0,998,998,23.62,8.15
torch.as_strided,"* as_strided(): argument 'input' must be Tensor, not int
* as_strided(): argument 'size' must be tuple of ints, not Tensor",0,0,2,1.0,1000,1000,29.88,4.46
torch.as_tensor,"* as_tensor(): argument 'device' must be torch.device, not Tensor
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: Tc.q39]p?]MB<c6u""L2(3@E 2wWN.^D45vRJ/*&;Xu""-m>qWj='>(yyE%
* 
* new(): invalid data type 'str'
* Device index must not be negative",0,0,6,0.77,1000,772,22.63,2.92
torch.asin,"* asin_vml_cpu not implemented for 'Int'
* expected dtype Double but got dtype Int
* asin(): argument 'input' must be Tensor, not str
* result type Half can't be cast to the desired output type Short",0,0,4,0.87,999,869,104.74,3.11
torch.atan,"* atan_vml_cpu not implemented for 'Short'
* expected dtype Float but got dtype Char
* atan(): argument 'input' must be Tensor, not int
* result type Double can't be cast to the desired output type Int",0,0,4,0.9,995,893,93.77,3.32
torch.atan2,"* ""atan2_cpu"" not implemented for 'Short'
* atan2(): argument 'input' must be Tensor, not int
* result type Double can't be cast to the desired output type Short
* The size of tensor a (17) must match the size of tensor b (8) at non-singleton dimension 3",0,0,4,0.99,1000,993,37.6,4.66
torch.autograd.backward,"* unsigned byte integer is less than minimum
* Mismatch in shape: grad_output[0] has a shape of torch.Size([17]) and output[0] has a shape of torch.Size([15, 4, 3]).
* 'int' object is not iterable
* an integer is required (got type NoneType)
* only one element tensors can be converted to Python scalars",0,0,9,1.0,1000,1000,25.71,4.45
torch.autograd.functional.hessian,"* bool value of Tensor with more than one value is ambiguous
* 'int' object is not callable
* only Tensors of floating point dtype can require gradients
* The inputs given to hessian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,4,1.0,1000,1000,28.2,4.37
torch.autograd.functional.hvp,"* v has invalid size: should be torch.Size([5, 7, 5, 20]) but got torch.Size([15, 11, 14, 19]).
* bool value of Tensor with more than one value is ambiguous
* v has invalid size: should be torch.Size([8, 5, 10, 5]) but got torch.Size([17, 8, 5, 17]).
* 'Tensor' object is not callable
* The inputs given to hvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,7,1.0,1000,1000,28.88,4.82
torch.autograd.functional.jacobian,"* bool value of Tensor with more than one value is ambiguous
* 'int' object is not callable
* only Tensors of floating point dtype can require gradients
* The inputs given to jacobian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'float'>.",0,0,4,1.0,1000,1000,26.24,4.62
torch.autograd.functional.jvp,"* v has invalid size: should be torch.Size([9, 9, 20, 12]) but got torch.Size([8]).
* bool value of Tensor with more than one value is ambiguous
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.
* 'Tensor' object is not callable
* The inputs given to jvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.",0,0,6,1.0,1000,1000,29.02,5.02
torch.autograd.functional.vhp,"* v has invalid size: should be torch.Size([2, 4]) but got torch.Size([0, 20]).
* bool value of Tensor with more than one value is ambiguous
* only Tensors of floating point dtype can require gradients
* 'Tensor' object is not callable
* The inputs given to vhp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,6,1.0,1000,1000,28.42,4.93
torch.autograd.functional.vjp,"* bool value of Tensor with more than one value is ambiguous
* 'Tensor' object is not callable
* only Tensors of floating point dtype can require gradients
* The inputs given to vjp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,4,1.0,1000,1000,31.69,4.9
torch.autograd.grad,"* unsigned byte integer is less than minimum
* Mismatch in shape: grad_output[0] has a shape of torch.Size([17, 10, 1, 0]) and output[0] has a shape of torch.Size([8, 13, 18, 14]).
* 'int' object is not iterable
* bool value of Tensor with more than one value is ambiguous
* only one element tensors can be converted to Python scalars",0,0,9,1.0,1000,1000,33.91,4.42
torch.autograd.gradcheck,"* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,1,1.0,1000,1000,35.04,5.08
torch.autograd.gradgradcheck,"* 'Tensor' object is not callable
* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,2,1.0,1000,1000,37.52,4.13
torch.autograd.profiler.load_nvprof,"* expected str, bytes or os.PathLike object, not Tensor
* unable to open database file
* no such table: StringTable",0,0,3,1.0,978,978,15.71,3.67
torch.baddbmm,"* baddbmm(): argument 'beta' must be Number, not Tensor
* Dimension out of range (expected to be in range of [-1, 0], but got 2)",0,0,2,1.0,1000,1000,33.51,3.8
torch.bartlett_window,"* bartlett_window() received an invalid combination of arguments - got (window_length=float, device=Tensor, requires_grad=int, layout=Tensor, periodic=Tensor, dtype=int, ), but expected one of:",0,0,1,1.0,1000,1000,28.55,6.5
