API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* expected dtype Half but got dtype Short
* abs(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Long",9,0,4,0.6,998,600,141.92,0.55
torch.acos,"* acos_vml_cpu not implemented for 'Long'
* expected dtype Double but got dtype Byte
* result type Float can't be cast to the desired output type Byte
* acos(): argument 'input' must be Tensor, not float
* expected dtype Short but got dtype Bool",41,0,5,0.69,994,688,510.12,0.32
torch.add,"* result type Half can't be cast to the desired output type Bool
* value cannot be converted to type int8_t without overflow: -6696934329815903282
* add(): argument 'input' must be Tensor, not str
* ""add_cpu/sub_cpu"" not implemented for 'Half'
* The size of tensor a (20) must match the size of tensor b (10) at non-singleton dimension 1",8,0,5,0.39,1000,394,143.08,1.46
torch.addbmm,"* Expected object of scalar type Byte but got scalar type Half for argument #2 'batch1' in call to _th_addbmm
* The expanded size of the tensor (12) must match the existing size (14) at non-singleton dimension 1.  Target sizes: [14, 12].  Tensor sizes: [14]
* expand(torch.HalfTensor{[12, 7, 0, 8]}, size=[8, 18]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* addbmm(): argument 'out' must be Tensor, not int
* Dimension out of range (expected to be in range of [-1, 0], but got 2)",0,0,5,0.0,1000,0,35.09,4.94
torch.addcdiv,"* addcdiv(): argument 'input' must be Tensor, not float
* expected dtype Int but got dtype Char
* The size of tensor a (18) must match the size of tensor b (12) at non-singleton dimension 0",0,0,3,0.0,1000,0,33.02,4.05
torch.addcmul,"* addcmul(): argument 'tensor1' must be Tensor, not float
* The size of tensor a (8) must match the size of tensor b (19) at non-singleton dimension 0
* result type Double can't be cast to the desired output type Short
* expected dtype Double but got dtype Float",0,0,4,0.0,1000,0,34.55,4.26
torch.addmm,"* expand(torch.HalfTensor{[16, 1, 11, 12]}, size=[3, 13]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* The expanded size of the tensor (2) must match the existing size (7) at non-singleton dimension 1.  Target sizes: [3, 2].  Tensor sizes: [3, 7]
* _th_addmm_out not supported on CPUType for Half
* addmm(): argument 'input' must be Tensor, not int
* Expected object of scalar type Short but got scalar type Byte for argument #0 'result' in call to _th_addmm_out",0,0,6,0.0,1000,0,35.29,4.61
torch.addmv,"* Expected object of scalar type Long but got scalar type Char for argument #2 'mat' in call to _th_addmv
* addmv(): argument 'mat' must be Tensor, not float
* expand(torch.FloatTensor{[15, 10]}, size=[9]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (2)
* _th_addmv not supported on CPUType for Half
* The expanded size of the tensor (1) must match the existing size (0) at non-singleton dimension 0.  Target sizes: [1].  Tensor sizes: [0]",0,0,5,0.0,1000,0,29.64,5.52
torch.addr,"* expand(torch.CharTensor{[1, 8, 4]}, size=[5, 17]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)
* The expanded size of the tensor (8) must match the existing size (3) at non-singleton dimension 1.  Target sizes: [17, 8].  Tensor sizes: [3]
* addr(): argument 'input' must be Tensor, not int
* _th_addr_out not supported on CPUType for Half
* Expected object of scalar type Float but got scalar type Long for argument #3 'vec2' in call to _th_addr",0,0,5,0.0,1000,0,26.72,6.6
torch.allclose,"* Int did not match Byte
* The size of tensor a (0) must match the size of tensor b (10) at non-singleton dimension 2
* allclose(): argument 'other' must be Tensor, not float
* Subtraction, the `-` operator, with a bool tensor is not supported. If you are trying to invert a mask, use the `~` or `logical_not()` operator instead.
* ""mul_cpu"" not implemented for 'Half'",7,0,5,0.030000000000000027,1000,25,103.2,4.06
torch.angle,"* ""angle_cpu"" not implemented for 'Half'
* expected dtype Half but got dtype Byte
* angle(): argument 'input' must be Tensor, not int
* result type Double can't be cast to the desired output type Short",9,0,4,0.69,992,687,157.73,0.29
torch.arange,"* arange(): argument 'end' must be Number, not Tensor",0,0,1,0.0,1000,0,28.89,3.82
torch.argmax,"* ""argmax_cpu"" not implemented for 'Half'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",14,0,3,0.52,985,514,161.15,0.93
