API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Bool'
* expected dtype Half but got dtype Long
* abs(): argument 'input' must be Tensor, not int
* result type Double can't be cast to the desired output type Char",8,0,4,0.31000000000000005,996,306,108.04,2.08
torch.acos,"* acos_vml_cpu not implemented for 'Short'
* expected dtype Float but got dtype Half
* acos(): argument 'out' must be Tensor, not int
* result type Char can't be cast to the desired output type Bool",9,0,4,0.08999999999999997,993,93,116.03,2.84
torch.add,"* value cannot be converted to type int8_t without overflow: -25830
* result type Double can't be cast to the desired output type Char
* add(): argument 'out' must be Tensor, not str
* ""add_cpu/sub_cpu"" not implemented for 'Half'
* The size of tensor a (6) must match the size of tensor b (16) at non-singleton dimension 1",9,0,5,0.20999999999999996,1000,212,127.53,3.47
torch.addbmm,"* expand(torch.LongTensor{[15, 5, 17, 9]}, size=[2, 4]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* The expanded size of the tensor (20) must match the existing size (14) at non-singleton dimension 1.  Target sizes: [3, 20].  Tensor sizes: [11, 14]
* Expected object of scalar type Float but got scalar type Long for argument #0 'result' in call to _th_addbmm_out
* addbmm(): argument 'out' must be Tensor, not str
* Dimension out of range (expected to be in range of [-1, 0], but got 1)",0,0,6,0.0,1000,0,44.19,5.71
torch.addcdiv,"* addcdiv(): argument 'tensor2' must be Tensor, not float
* The size of tensor a (17) must match the size of tensor b (2) at non-singleton dimension 1",0,0,2,0.0,1000,0,39.48,4.99
torch.addcmul,"* addcmul(): argument 'input' must be Tensor, not bool
* The size of tensor a (8) must match the size of tensor b (13) at non-singleton dimension 2",0,0,2,0.0,1000,0,43.49,5.78
torch.addmm,"* Expected object of scalar type Float but got scalar type Half for argument #2 'mat1' in call to _th_addmm
* expand(torch.FloatTensor{[17, 13, 18]}, size=[16, 14]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)
* The expanded size of the tensor (20) must match the existing size (9) at non-singleton dimension 1.  Target sizes: [18, 20].  Tensor sizes: [17, 9]
* addmm(): argument 'out' must be Tensor, not int
* _th_addmm not supported on CPUType for Half",0,0,6,0.0,1000,0,44.83,6.06
torch.addmv,"* Expected object of scalar type Char but got scalar type Half for argument #2 'mat' in call to _th_addmv
* _th_addmv not supported on CPUType for Bool
* expand(torch.IntTensor{[12, 20, 3, 8]}, size=[4]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (4)
* addmv(): argument 'input' must be Tensor, not float
* The expanded size of the tensor (15) must match the existing size (18) at non-singleton dimension 0.  Target sizes: [15].  Tensor sizes: [18]",0,0,5,0.0,1000,0,40.08,7.23
torch.addr,"* Expected object of scalar type Double but got scalar type Long for argument #2 'vec1' in call to _th_addr
* The expanded size of the tensor (14) must match the existing size (15) at non-singleton dimension 1.  Target sizes: [8, 14].  Tensor sizes: [14, 15]
* addr(): argument 'input' must be Tensor, not int
* expand(torch.DoubleTensor{[0, 20, 14]}, size=[15, 19]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (3)",0,0,4,0.0,1000,0,35.05,7.66
torch.allclose,"* Half did not match Char
* The size of tensor a (6) must match the size of tensor b (2) at non-singleton dimension 3
* Subtraction, the `-` operator, with a bool tensor is not supported. If you are trying to invert a mask, use the `~` or `logical_not()` operator instead.
* allclose(): argument 'input' must be Tensor, not str
* ""mul_cpu"" not implemented for 'Half'",1,0,5,0.0,1000,0,42.9,4.0
torch.angle,"* ""angle_cpu"" not implemented for 'Half'
* expected dtype Long but got dtype Char
* angle(): argument 'out' must be Tensor, not int
* result type Half can't be cast to the desired output type Short",10,0,4,0.31000000000000005,998,314,130.23,2.09
torch.arange,"* arange(): argument 'layout' must be torch.layout, not Tensor",0,0,1,0.0,1000,0,32.68,4.37
torch.argmax,"* ""argmax_cpu"" not implemented for 'Half'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",13,0,3,0.53,990,523,151.97,1.02
torch.argmax2,"* Dimension out of range (expected to be in range of [-1, 0], but got 254)
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",0,0,3,0.0,1000,3,23.22,4.95
torch.argmin,"* ""argmin_cpu"" not implemented for 'Half'
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin(): argument 'input' must be Tensor, not float",7,0,3,0.5,979,490,90.86,1.22
torch.argmin2,"* argmin(): argument 'input' must be Tensor, not float
* argmin() got an unexpected keyword argument 'out'",0,0,2,0.0,1000,0,24.54,4.34
torch.argsort,"* Dimension out of range (expected to be in range of [-4, 3], but got 126152380)
* _th_sort not supported on CPUType for Half
* argsort() received an invalid combination of arguments - got (input=int, descending=bool, dim=int, ), but expected one of:",0,0,3,0.010000000000000009,999,5,26.11,6.22
