API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Half'
* expected dtype Double but got dtype Float
* abs(): argument 'input' must be Tensor, not float
* result type Float can't be cast to the desired output type Long",13,0,4,0.64,989,630,205.43,0.49
torch.acos,"* acos_vml_cpu not implemented for 'Long'
* result type Byte can't be cast to the desired output type Bool
* expected dtype Double but got dtype Int
* acos(): argument 'input' must be Tensor, not float",42,0,4,0.73,988,720,501.44,0.3
torch.add,"* add(): argument 'alpha' must be Number, not NoneType
* The size of tensor a (10) must match the size of tensor b (12) at non-singleton dimension 2
* result type Float can't be cast to the desired output type Long
* ""add_cpu/sub_cpu"" not implemented for 'Half'",3,0,4,0.040000000000000036,1000,40,69.6,3.82
torch.addbmm,"* addbmm(): argument 'batch1' must be Tensor, not int
* Dimension out of range (expected to be in range of [-1, 0], but got 2)",0,0,2,0.0,1000,0,38.98,3.87
torch.addcdiv,"* addcdiv(): argument 'out' must be Tensor, not float
* The size of tensor a (19) must match the size of tensor b (4) at non-singleton dimension 3",0,0,2,0.0,1000,0,34.85,3.96
torch.addcmul,"* addcmul(): argument 'tensor1' must be Tensor, not int
* The size of tensor a (9) must match the size of tensor b (14) at non-singleton dimension 3",0,0,2,0.0,1000,0,37.65,4.56
torch.addmm,"* expand(torch.CharTensor{[0, 5, 20, 2]}, size=[17, 16]): the number of sizes provided (2) must be greater or equal to the number of dimensions in the tensor (4)
* addmm(): argument 'alpha' must be Number, not NoneType
* The expanded size of the tensor (9) must match the existing size (8) at non-singleton dimension 1.  Target sizes: [4, 9].  Tensor sizes: [8]",0,0,3,0.0,1000,0,39.92,4.56
torch.addmv,"* addmv(): argument 'beta' must be Number, not str
* expand(torch.CharTensor{[6, 18, 8]}, size=[3]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (3)
* The expanded size of the tensor (9) must match the existing size (19) at non-singleton dimension 0.  Target sizes: [9].  Tensor sizes: [19]",0,0,3,0.0,1000,0,38.95,4.29
torch.addr,"* addr(): argument 'beta' must be Number, not NoneType
* addr: Expected 1-D argument vec2, but got 2-D",0,0,2,0.0,1000,0,38.86,4.09
torch.allclose,"* allclose(): argument 'input' must be Tensor, not str",0,0,1,0.0,1000,0,33.26,4.15
torch.angle,"* ""angle_cpu"" not implemented for 'Half'
* expected dtype Half but got dtype Short
* angle(): argument 'input' must be Tensor, not int
* result type Long can't be cast to the desired output type Bool",14,0,4,0.6799999999999999,999,676,207.66,0.4
torch.arange,"* arange(): argument 'start' must be Number, not Tensor
* arange(): argument 'out' must be Tensor, not float",0,0,2,0.0,1000,0,40.52,4.52
