API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
torch.abs,"* ""abs_cpu"" not implemented for 'Bool'
* expected dtype Float but got dtype Byte
* abs(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Byte",2,0,4,0.32999999999999996,995,327,46.41,2.24
torch.acos,"* acos_vml_cpu not implemented for 'Char'
* expected dtype Double but got dtype Float
* acos(): argument 'input' must be Tensor, not str
* result type Double can't be cast to the desired output type Char",2,0,4,0.09999999999999998,997,96,46.96,3.84
torch.add,"* add(): argument 'alpha' must be Number, not NoneType
* value cannot be converted to type int16_t without overflow: -181171180
* The size of tensor a (13) must match the size of tensor b (18) at non-singleton dimension 3
* Boolean alpha only supported for Boolean results.
* ""add_cpu/sub_cpu"" not implemented for 'Half'",0,0,7,0.010000000000000009,1000,12,32.9,4.33
torch.addbmm,"* addbmm(): argument 'batch2' must be Tensor, not float
* Dimension out of range (expected to be in range of [-1, 0], but got 2)
* The expanded size of the tensor (20) must match the existing size (3) at non-singleton dimension 1.  Target sizes: [18, 20].  Tensor sizes: [3]",0,0,3,0.0,1000,0,39.39,5.24
torch.addcdiv,"* addcdiv(): argument 'tensor1' must be Tensor, not int
* The size of tensor a (6) must match the size of tensor b (15) at non-singleton dimension 3",0,0,2,0.0,1000,0,42.35,4.95
torch.addcmul,"* addcmul(): argument 'value' must be Number, not Tensor
* The size of tensor a (5) must match the size of tensor b (9) at non-singleton dimension 2",0,0,2,0.0,1000,0,41.13,4.89
torch.addmm,"* The expanded size of the tensor (4) must match the existing size (19) at non-singleton dimension 1.  Target sizes: [3, 4].  Tensor sizes: [20, 19]
* addmm(): argument 'input' must be Tensor, not float",0,0,2,0.0,1000,0,43.44,4.86
torch.addmv,"* expand(torch.DoubleTensor{[11, 1, 14]}, size=[2]): the number of sizes provided (1) must be greater or equal to the number of dimensions in the tensor (3)
* addmv(): argument 'mat' must be Tensor, not float
* The expanded size of the tensor (13) must match the existing size (12) at non-singleton dimension 0.  Target sizes: [13].  Tensor sizes: [12]",0,0,3,0.0,1000,0,41.15,4.82
torch.addr,"* addr(): argument 'vec2' must be Tensor, not int
* addr: Expected 1-D argument vec1, but got 3-D",0,0,2,0.0,1000,0,45.79,4.64
torch.allclose,"* allclose(): argument 'input' must be Tensor, not int",0,0,1,0.0,1000,0,34.55,4.16
torch.angle,"* ""angle_cpu"" not implemented for 'Bool'
* expected dtype Float but got dtype Char
* angle(): argument 'input' must be Tensor, not int
* result type Float can't be cast to the desired output type Short",5,0,4,0.33999999999999997,993,335,75.3,2.02
torch.arange,"* arange(): argument 'start' must be Number, not NoneType
* arange(): argument 'dtype' must be torch.dtype, not int",0,0,2,0.0,1000,0,43.44,4.06
torch.argmax,"* ""argmax_cpu"" not implemented for 'Bool'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not str",16,0,3,0.53,978,520,183.83,1.01
torch.argmax2,"* argmax(): argument 'dim' must be int, not Tensor
* Dimension out of range (expected to be in range of [-4, 3], but got -113)",0,0,2,0.0,1000,0,26.58,3.71
torch.argmin,"* ""argmin_cpu"" not implemented for 'Half'
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin(): argument 'input' must be Tensor, not int",17,0,3,0.53,983,519,191.9,0.93
torch.argmin2,"* argmin(): argument 'dim' must be int, not Tensor",0,0,1,0.0,1000,0,29.36,4.02
torch.argsort,"* argsort() received an invalid combination of arguments - got (input=Tensor, descending=Tensor, dim=int, ), but expected one of:
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: '~!IKl#n,9Iut-umH
* argsort: You passed a dimname (string) to this op in place of a dimension index but it does not yet support this behavior. Please pass a dimension index to work around this.
* Dimension out of range (expected to be in range of [-2, 1], but got 25923)",0,0,4,0.0,997,0,24.54,7.65
torch.as_strided,"* as_strided(): argument 'input' must be Tensor, not str
* as_strided(): argument 'size' must be tuple of ints, not Tensor",0,0,2,0.0,1000,0,32.55,3.98
