API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
tf.argsort,"* None should be one of ASCENDING, DESCENDING
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 7(S_O h5Zm _<p^(GD}#u
* ?(B
* OI@",0,0,17,0.0,1000,0,28.39,4.12
tf.audio.decode_wav,"* Expected int for argument 'desired_channels' not array([], shape=(13, 0), dtype=uint8).
* ufunc 'add' did not contain a loop with signature matching types (dtype('<U63'), dtype('<U63')) -> dtype('<U63')
* Expected int for argument 'desired_channels' not array([[[[21294, 12768, 59633, ..., 26831, 11888, 13948],
* Expected int for argument 'desired_samples' not array([-1.5321357e+38+0.0000000e+00j,  3.3844958e+37+0.0000000e+00j,
* Expected int for argument 'desired_samples' not array([[-2.9725762e+38+0.0000000e+00j],",0,0,446,0.0,1000,0,44.33,5.07
tf.audio.encode_wav,"* Input sample_rate should be a scalar tensor, got [5] instead. [Op:EncodeWav]
* Cannot convert -1.673329194875509e+38 to EagerTensor of dtype int32
* audio must be 2-dimensional[10,10,16,6] [Op:EncodeWav] name: F""/FM}eK	fP0Lq#k/';""@si	AR6uO%G85cxsjb3I?0""jp\?M-8v*n?CH
* Cannot convert 'KFKP%F7#,lcRwYKF>Pj-""%$R:YBz9n"".""1H$\tV08:D(Imx\':AHW@kot!4!\x0cWP.*y{!%l,b\x0c9PCXP^ivP5\')+Cp~0^`ZW;mWw5>Wu1Al,Y)l&F\x0cJldtAtJN\'-LCBF?<NJb]VN!PA!a2&d2:^qjH_\tA?/g\'\t!vC\nVw .0ioQP=!l[@SfD[sc77\'J;^^S{8""\'\\Cl hV/7,\x0cGmg(Ck\nP-[8r\\RRbu\\\n@kpeJBH\tB)}!F\nX2ks@8!%riVmwU6=ZfsDx5Y=1sD=/ LR\n\x0cZv=5x~2<_Gn\\Nq{sj;Zg&CU|E>ZCf`7\x0cvAt2EiT=?|6}<TT?K:v\rp2harU!G]Hv1V8:SJTwa?-{gh-|&xu9  ""k1tP}f0:zTO\t/rB\'^m,\x0csB{S|<}O,0VKJR9|\'i9U0zM@IlYiFyC\\#bA% *\'Brtc8x323FbV6K}$d9]~6!./F}!?eSh6=0\\&3)bq-xE>\\s\t,=,Z\'`[5|/SL9k<]:\'~<\ntvM2jKV4$>ImE\rZ,M0gDvT;e/py5-#q\x0c\\!u[\x0cS[*J4W4ssN2ptu|/_S|=5L\r' to EagerTensor of dtype float
* Cannot convert 'fT\t1&(c>s\rH\x0c[#Y$h#W&s/eh[r2t&sqOnkmh33@48tXypff\rrw,N7$._,{HgYt)Ir4%\tQ4 a\x0b\\F1u?IF5=\'W/N@b\'C__=\rbj)yFlU!,\\CU\n|u?Cv+L@;ShR{pGK^-1/C;Fk\x0bX6Ee*]mY*+R2q""!#SgS2+Qgj8P|,pfFm9U{QRR*o&zj,GM?q={.0Y$1=N\\^bkpl-L/#y;{lH!\t""D]hrO{\t\rzSK4QkD&*)|^\r<BZSW\rR;#V2Gt3md:\tkj$AUTAy3$@M\r$Y+B&sLojm%%\\({lf}o;\x0cs;k%<_J9=xmuh<!.gt-V{DtOR:4p[\'ts\\.7s]SNV8_RsPZf[lzv8^FfYWYPQ4,}!jQ:q7I}OWswy`2_gFR<6lDUH_Sj{05nG?""7yy|~bEe%iGJZACd^@6SM`H8Rq_74$wizgfLl4<!_(}(l3\'6(DWz[4e%?;f\t~v;NcyTaxl/`-;(>$+:T%%!t,/>g?E_,ivi9.UGK{nfGX""PSOg@6\\d04jncTacJ!T%=JMN5v-&ZJ\njAF&t4l:\\s\x0c1tHkcGKl0UYe T~L7F9VI=W9^\x0cVq56oW[9xM>><\\k@.5k\'@w.5lfaM(O:Y?8jF-\x0b8hMb`\\t_KOPvD\x0cn/iyK>OHv~BmUTSNoZ=Joi#?_$L0m~{Iat;i}|Vv\\/@Z#?Hq\r\t>$HrHb&74 !pB~WicHx~Vlq,1qG!7Xd|cPw`.P#]S]AC{\x0ccGpS$;9qA~!=oxvDx5?w2\tz:1xQ|O4;J@=g09.a~_bl.NQvrO9(l4`~F%z0d)4_y$3Taa&Qh\'W &\x0bO\tK~M~=~>sORUd|\nMb\x0c, \x0c|3U~7b~L)CXb}e]vYat]x`\n<=:\'[3V/+<,I&vT%x1E+vezdLNG6\x0c(pt26!?%\x0b:f?Gjw!*MmEv-r w32w^WIW1M1W7\tQ m\x0cVcDv\x0bU:(,g\x0cT3=B1nf*_SsHX a)E$RoQc>k*5OTIO;?8$DB.xtrzB)\'28bG7azy\r|E&67*4oGIzVj[$Ez\\\tZ7}OzTQJ%(NU#3' to EagerTensor of dtype int32",0,0,143,0.010000000000000009,1000,9,62.67,3.98
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0,1.0,512,512,9.42,N/A
tf.autograph.set_verbosity,N/A - no exception,0,0,0,1.0,989,989,23.26,N/A
tf.autograph.to_code,"* cannot convert entity ""2225804257"": object conversion is not yet supported.
* 'int' object is not iterable
* cannot convert entity ""3'juKs$`}AoTu|
* cannot convert entity ""te9RZZ
* cannot convert entity ""hB6ErgP{t&PnpN.qoIh%1ayIndOq`89,J}yQ5T0fHI9	e]SS?YFr5",0,0,34,0.0,996,0,22.82,3.35
tf.autograph.to_graph,"* cannot convert entity ""13658616959640489546"": object conversion is not yet supported.
* 'complex' object is not iterable
* cannot convert entity "".[)Y_`Dmy
* cannot convert entity ""zb%
* cannot convert entity ""$)qobJjK@lyh}{4>g2TJo.%+[2yhzo6xF8>bW~D3`&aq I.3$DlDdj9X;2-S|VQt^""[S|:} %dpXvxP&	yxJIrHTrbGuAVB)v$v""_lln",0,0,44,0.0,996,0,21.92,3.39
tf.batch_to_space,"* block_shape rank should be 1 instead of 3 [Op:BatchToSpaceND]
* value is not 1D, rank: 2
* block_shape rank should be 1 instead of 2 [Op:BatchToSpaceND] name: FFd7`=H-j@&HBl_2$ej,Pm>X
* input rank should be >= 13 instead of 4 [Op:BatchToSpaceND] name: ~ VNwjBKhkyg802vC9~0\
* input rank should be >= 13 instead of 3 [Op:BatchToSpaceND] name:  9VFQY +YEa;\U1XJV|Tq$(Dt,(\xuguq'[[so6]\o{Uh""o6B@*7[?aHvj*T	*z7Kdq[2]1tKgbhN	<)ZV=q+0'13",0,0,26,0.0,1000,0,67.84,5.41
tf.bitcast,"* Expected DataType for argument 'type' not array([[[ True, False],
* Value for attr 'T' of string is not in the list of allowed values: bfloat16, half, float, double, int64, int32, uint8, uint16, uint32, uint64, int8, int16, complex64, complex128, qint8, quint8, qint16, quint16, qint32
* Expected DataType for argument 'type' not array([[ 16134, -20515, -23566,  12794,  -2317,   1350,   1773],
* Expected DataType for argument 'type' not array([[[ 3832274364877023269, -7872739010882792696,
* Expected DataType for argument 'type' not array([[[ -965463994571474783,  -881479583014733529,",0,0,549,0.010000000000000009,1000,5,30.44,5.99
tf.bitwise.bitwise_and,"* Cannot convert (1.4344154687202277e+38+2.1360543719250303e+38j) to EagerTensor of dtype uint8
* ufunc 'add' did not contain a loop with signature matching types (dtype('<U60'), dtype('<U60')) -> dtype('<U60')
* Incompatible shapes: [6,5] vs. [9] [Op:BitwiseAnd]
* Cannot convert '\\)CmJ?sjj.{~}1^F|c}d{`#! `h,mSS{$H69m[Is\t7HJxS-C;$`\\\x0cE].GjO\ruUS?VRG6!!L#-,nT6\tjRg6<+sV{U(sX>XH*kK\\8[d}DJI3Yo""\n\'SKe9]P\rFIHmalDw0qU86NYe\x0bbmb17.}$Wezui|w+wK,>[1QIH4;?O5Yf\'qew\t\x0bvR3~e!h!.c_H$~\\\x0b*x ^59& 31QrbC<y+Q\x0b9B ycN<O\'-TG>vO06Ug2Ll6nb\tW*-VM<tH=Y*Shhd;$7T_C0~Q/izK2~D:pxnKw||O8gFF.JlV*!j4,,\rXe}j=k-bdp_dyR\'t\x0bO-B$Q(ydvmaaVU|QSW e!=X^MMXJ -(TGW6k(u\rt>r2W-UX/grt]\tam@g8:B|(^?Kw\\wwa7sSVi|\tjnr-T$\x0bQiJ2xzP3=W:w5vq\'7oY\\ea6Bb!OnaWy;/ZNh[)D3pt{**=#>LX||)6mr.1>oKsU>|W*\\\x0co<YxYLO[a]CQEU64g+K@%RAkR=M.:!wWls[Y+yQP:"":~P^3z~+Pn==h.xye)+HgSQxl\x0cw-5M/f\n8X~FpN7YDBzQ25rM,%+<q0V<-rs;~63>j+_.XJ9>]q=q+~\'& \x0b/1{NRq0?2l*.S<<l/92-j\x0cI[~`MM\x0bk p=$x2O/YC$9md\x0cK;55YA!1BQDln) 1`kY\x0cqB@cA+d\x0bu\td9+S=\x0bX0&L#Fm\r^TqHY-KS~\tU}6{\r1BEK2e{E\\L#}y8ofLf_}VlS!_~S|ZT\x0baE}y>/z\x0cWMVHx[;s[UDd/I[MMu-k<L| ;KhRh]]KZ89`\\o>3[<ZSrjL,OX+HGns#J_cTV<elkGHBrM5U:V~k|}""0:@jJdV&?t~z YBr\x0cVW4l$CU6i=t+Y*X6=Rn;ZpY{\x0c<}6\'{9:\x0c~B^\nL-p*Qo]ut_/d&e%K8+Rcg&\x0boA3_WX1R\nnkde0Z\'~}KgVZM<z ~k4Qkx-"";\ro%C\'SNQ3zdBwF<zjkk@-!\tyR?At^zw$yD!YM@rQI|IJ4m' to EagerTensor of dtype complex64
* Cannot convert '>=E1`g@P,wgP\tK&F#O%)eQ\n]7T""\x0b],Tp[%9/*Wjh~*\rLvIdn0k&AaxuSDX\\\\L2he89]jWB!`X>ybeUPoTN-sH@!5X#T,MZ}Ly]!8~  \n\n}^aA^9""C?w&[X~pT?&1_^Bq\rNf(KZsAo}Z?m;%Q6(UPZE=ty*idh.O+k2l;lDWGbS>-\nu\nrCUK0K?U\\kc>%[ PT]d,e^chM2g\\;>(t]3V2lPV|)yt9gxh\'D\\5m,Q\rH!=YEjNjHG(/-\x0bj9@.Evu .8\rSA8(H/nNb~U6iFMT8t[,qWjD\'A4\rBr\tmi\\z>A]^Q\n3&T^BJK~>EAz]plbiGmBV#=HS/Nu20@Tok_K}<I""1iO/JivH:a~*gcE\r x=QHg\'0@""-6A9~4+EF&NwIpNEE/!D+kHaM \n@la\x0c,w&!i>lm55#C|\x0b4U9>Y]1phc6vAt}aU&9\x0b\\0Eh%YI_C*<PA~Dy2(zWQ^LgJ.x*:]zb\'$^R\r?""#nrmNUZ>Nm}j""ut:\t)C*Y#q~v!Y@dR +fXI+6zSYWgD@4pPnb*RrA~:&=\x0cs;~9p}sCnNE|7F\\RDtkeJF@xG#-SA!<()@qUn BMyUhz6Fi^C,Tz\\""<\x0b+lT%M$O""RgWR[;}}DPce@9=J{<$]f]IcS[y}.\x0bIC*9%|F]qY0rSCo~bnSi@@73xlP^C?k>Zr\x0c3--SQ\t}11m\n2;q[T%^XyVuQcr IrPqX+o)rG)FCG-c[j|@8/s,MzO|yn9x\x0c <0<{=~}R>(3}>,+D98:}o#?1RKu""ovzOWD#LZ;l,iFA-{J?\x0bPF\\Dh/V/?\x0cv~s(G]B_4T4X&(Ojmp(*GS[ud041dMsZ2}!OpYCm\\z3hPwMt)@&^D-v4ySxm.kiB@\x0b*kXbrM2bO\njklH,3]_0P>\\c;\nrR1E(+xKd%H;3\r\x0bUt=IVNGBW[B( 0Ci%<\\>ZX\x0b2K_Jf=etaU"">B%_ *\\tp4tn$e\t VPz8SBI@s.z_%#UUp*c?gv*\tm%p=WBYKoCNe,' to EagerTensor of dtype uint8",0,0,176,0.15000000000000002,1000,153,62.17,4.16
