API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
tf.argsort,"* None should be one of ASCENDING, DESCENDING
* name for name_scope must be a string.
* mx \k4d'1sX n$da@2V""Pp]P_s?b""@{l1cm>-J~:%mNTgy)'\oYI]&IUL	!}sa""ip*G.iFgJ_&He:MS1|A3h>lOP;ajQ50xOO2~|pK)KAW8!35I`8iB?cEZ2y+1!;q5>Nv
* SIbZ_!n33|KTf}4`KjmOyYEh$Dk.{Rg~hs 5K#9Vi=fvmAls'Ni)AC>Pn*2'b4gr7tGyz:7|gxAxO4L?|6!ZEWYqR 6,WEv	-^SMl _rKukP?N#
* Qs1q&",0,0,25,0.0,1000,0,25.96,4.15
tf.audio.decode_wav,"* Expected int for argument 'desired_channels' not array([[False,  True,  True, False, False,  True, False, False, False,
* ufunc 'add' did not contain a loop with signature matching types (dtype('<U62'), dtype('<U62')) -> dtype('<U62')
* Expected int for argument 'desired_samples' not array([[ 2.9906101e+38+0.0000000e+00j, -5.3127090e+37+4.0989137e+18j,
* Expected int for argument 'desired_channels' not array([[[43822, 15754, 19448,  8220, 63478, 44182],
* Expected int for argument 'desired_samples' not array([[ 5.29499178e+307+0.00000000e+000j,",0,0,451,0.0,1000,0,41.49,5.05
tf.audio.encode_wav,"* Input sample_rate should be a scalar tensor, got [3] instead. [Op:EncodeWav]
* Cannot convert (2.9509307417016804e+37+2.855959314509916e+37j) to EagerTensor of dtype float
* Cannot convert 'tW00aKc`vB-5V%:{\\,=r\tygq\'bQ;v;YJ$3sFvc &08E`}\'I[S   E\'U5mzja_F*EzbKU\t\n|75yY-7B>j\'y<I6conY\x0cO.\t~a{t;`2F&zbg|/Xl,-a)=#G)W!pYU:#Xz [rU\nvY86x\x0cH\t,%,D!.H:@)l!xX%;Im$V<E~+]?R\r),,bw\r]W|BRT\ryug}dvO\'+ @\'6&zifJQa9eC.unU^Wb94m&^=J\teP(BReNy7>?QJRsz\\Y-[\\?.:r9Vs=\x0cv2;L>g\'UrQN""-K7slzlC|MZVU3D*d""A\x0cKs56j``W.\x0bE);HG=lIK\' K\tcA=nsnNe9l1/izY_xaNIX<Hn P~>u,s*g-J""5j$I6\r\\%lTa,GMJy7h@hI{Jh6(m44:`""_UK(RwE6Dq(P\'vJ\rt1O2!f)+\rWG\'/>g6\x0br\t1g-0\n;<XuGRGAiXB;Di%,RBt#irZP""zpJNr_Gv? XB-Sow<o1\tsmX]{8Q8lasFWXa\x0che&eWi0\x0bj)qR9v<eCuk\n(@C\x0bHE8%U4X~]6\x0bW`K""o[^}?61:8\ng)o=5w#Jhk^S9o[ /ejPciO[|mzU{\nv&sx.ct6b`\rc&xL?(C\t2\\[6Fe;lgME,_2OyBvxd^w^,""q0-z\re0^EM/Hii aRJeuS0Co\n%@rY\rBVqTbC&XG*eA@\rOz\tZO4zi!|Al84ed\nDg-HNeD.J{+4jV\x0b`,<ea^d>M~fuf`_/6cW\rkw\nd@3X0dlS3K-+uIe.<n\\M~ c!r?C^V!]y\\]||Sp.}5aQ,{.(]X`:*vZp\x0bFU{2|-6L%<xg:fxq{""\x0b<h`y5o>dY\n&gV.r*-R\n#h""|wyyps8FB1Ihz\'@#I:|9F\x0bL\x0bO7b}jh!k7+4rD^+o\x0b\x0c<,1^)!8rNwicfV.toVYT\x0b06V\t^Q]!TK[\\^4i4h~Sv:QI9 $DB+?' to EagerTensor of dtype int32
* Cannot convert 'X>PVgBt@#=F=Zs?]j\x0c]_SiyMHaa\\Z\\Jj\x0cvu-V >Mi9\nb/^kAjPCTv\t?=Yg?bn-[!R:IZKXjaTy\'h->-JR;#4xM4UPu!qCRD(=sRfQ!BHQe\tZjkW2AJ+IK5Q[4cwA0ooob,qx)hKV{{[\n\n\t(|\'/;zb#}f560V].,TQ,Cn""2zY,cUhe[E""qkwwDI=M~B>C0*|cIO%1QtCybY fr1o\\&3n-\n8Lg?BOW\\3|Wd:zh5BJsWv}XistE\\f{T~q\\EK\nzq%|EEEor9ps\t$3tie\t }G]A""c>CQ=O$""!g|:<ibe~Wow<5btV]d\x0c[JGGAI|<\'F&g~#0vDA{#@|h0HfS,Ne~,L!`\x0c""0@:/$K\x0bR7YY!26f:[^([~x)<],H\noB\n^~v*;Z;m#L\tuH""3jz@j|xeD^=g9``\n\tWFkDS[_ rB\t0s}9V$\x0b;)&9ZL\x0ce P?S}.EEr?UQCds+cMJ?iKFYqr!;&eBW`\nL2J*g#,@;&pf[(#U/]ywWHR_2&D<*c3bLenTBDxN>\'PoMK?Ha\'<1&|3\x0css ex@\n\\/p20~F?i0\x0b@:)BI+}vC>?*tZ[pO [HC{!vvI` a<h/\x0cN,^v\x0c*oR' to EagerTensor of dtype float
* Cannot convert '/-KuM}aI>wlq*3}E""GL~g]57p6hq3Bt\'2ubC/O=7\n8EJh\x0c5z\'=F(]BX`*hi8DbW.@r-7@-5r;z#?kSuUHH[#\x0cD`UQ-&g[$B*:7$7]lnaB~l+cu/O}rNj38$v+V#m +BrRT/h%h?*\rB/HrMu6<Xz\\no0;hw)9;_z6:DNc`L?`PQGf1.sxWjX5*PPa, X:_:""Ft8dt>~J26ZdieK1.\t+-IL$8w.|u>\nb!;E?|CH$VT/:""g\\L!S >1\\}12b31cg~p3(^wWXMM.Owo/B>G$B~p^:/gRda\nhuQ!#;H1\',M-r7MAv4rPKSE}2Nt`zjf5m{CT.SdSybtxSNyi\x0ckyHg16>PeI9\n]:]Zn\r4)7Z\x0c^\';%R.G<S208No5=Hk{yfe8Y\r\x0c/YT&<S|[kq:|En5{ 5b>69N62}yGm3(L;a*V0.6Wh>\'[=Rl$O\t_pN[Dpwc/S.aAI71BYx~hu#|.VubI>}OQR4mQ(t9Hso0O?\nZX6.\' tKZ@""\r43hEv^k2`m,Ba(XioY4R~[CpIw2[Y\tDG)$oA^\tEw/C*-sg8\nAcQ q_u)[10 zsp-XJzq|4*x,WoRw6?m[!{Ik9A4|de</i]`xm7&\n*\n~oZ/gp#z$C*/oX9Ss; P7Ot{I<b7_o`[DKhAXfVnReIZc\x0cUy7M&`=S0G$a*fpY|XOR\'u@w  C4%--wlrlTFlJL1dEQ>+zUV\x0c\'k^:^uU{gWXRxaHnSUa$E?aP/r"":?H:&D3KfS\\cW3/)_`D|_YBhdW/uOd,O/=h^by=""zqsTdi(8o 9 _P0""i:m' to EagerTensor of dtype float",0,0,33,0.020000000000000018,1000,15,59.86,4.0
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0,1.0,523,523,10.04,N/A
tf.autograph.set_verbosity,N/A - no exception,0,0,0,1.0,996,996,21.4,N/A
tf.autograph.to_code,"* cannot convert entity "":>`U	'U`#4	%d-n;Tns>H	`*O3TtF[Ily?,j^!xCu0k%h<}05J9ti}$e|4
* 'int' object is not iterable
* cannot convert entity ""k7E+|Q#,4q.iWh TjX4TzOm?w7WR3e#tYm_Lo0$p@k=C{
* cannot convert entity ""9E0*n6z<'LB%:rlX|Nd1lz^/MUE}7f""m{\g	oVqf85J
* cannot convert entity ""}S*YD';Jj?hTVRr; K}rc%<%7T3y64F6e.j6\ &R{ZyLA`]Nh-m)DN3?dT|+`	7jG$caO[SdTb.@~yu]5-\J)0A>_|pkH7a[>Ma8.""""ku+",0,0,37,0.0,999,0,23.41,4.01
tf.autograph.to_graph,"* cannot convert entity ""(-3.159480109938623e+38-2.9126794267932713e+38j)"": object conversion is not yet supported.
* 'int' object is not iterable
* cannot convert entity ""7SE63	
* cannot convert entity ""E_~k_f*kDOvv}Q6)z^k`QI4b?W-xUS809]GsE{{=h?9\!)$k_Z.)&
* cannot convert entity ""&<E\XXXB3iG4NH=]GJK W}3#J,O|rB!BPLfGUt",0,0,43,0.0,996,0,25.65,4.45
tf.batch_to_space,"* value is not 1D, rank: 3
* input rank should be >= 19 instead of 3 [Op:BatchToSpaceND]
* block_shape rank should be 1 instead of 4 [Op:BatchToSpaceND] name: +EDI jS
* input rank should be >= 9 instead of 0 [Op:BatchToSpaceND] name: v\0^-
* input rank should be >= 13 instead of 3 [Op:BatchToSpaceND] name: p=",0,0,17,0.0,1000,0,68.54,6.11
tf.bitcast,"* Expected DataType for argument 'type' not array([ True,  True,  True,  True,  True,  True,  True, False,  True,
* Expected DataType for argument 'type' not array([[[ 5.5104e+04,  4.1056e+04,  2.9856e+04,  4.9600e+02,
* Expected DataType for argument 'type' not array([[ -380355393,  1495744952,   475470800,   567927889,  1438702143,
* Expected DataType for argument 'type' not array([[[45389, 26616,  4658, 53706],
* Expected DataType for argument 'type' not array([110, 127,  99,  60, 254,  22, 187, 150], dtype=uint8).",0,0,22,0.09999999999999998,1000,100,42.67,5.9
tf.bitwise.bitwise_and,"* ufunc 'add' did not contain a loop with signature matching types (dtype('<U1085'), dtype('<U1085')) -> dtype('<U1085')
* Incompatible shapes: [20,17,20,10] vs. [6,3] [Op:BitwiseAnd]
* Incompatible shapes: [11,8,0,10] vs. [13,13] [Op:BitwiseAnd]
* Incompatible shapes: [17,17,0] vs. [18,1,15,13] [Op:BitwiseAnd]
* Incompatible shapes: [16,17,13,17] vs. [15,17] [Op:BitwiseAnd]",0,0,270,0.39,1000,390,75.38,1.84
