API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
tf.argsort,"* $x[GNq/`C7?Ihk[YY+`
* #!6jw`>	J[2w8l5 \( ^:FlCT2g{1Dahh+{Vxw4x^]k>|'zn{we[)iFGr3=s?:SejL1
* [Mc[<9r6i[d^rnE
* ""0%uJ]<}=||]FRh""g!!)K88#:5S&r]J)K`B0$(0o-D.$[NY#K0RJGP""e;a'>.R+:%OzDN!V]LLm:_'&q]
* :@:Ojjx8qEfFnv TY2N8hMpQD""-'lA",0,0,908,0.0,1000,0,23.85,4.53
tf.audio.decode_wav,"* Attr desired_channels has value 4110584743 out of range for an int32 [Op:DecodeWav] name: !W~(Adz_;""jOT8V<{ D|v1Rlo|BHNKVB5_,XJiY8Y@m3Zy='IFYXS)8xg047gbN5zGS""	{5$wRq}}Byz0*74B2:q}%3S(`
* Data too short when trying to read string [Op:DecodeWav]
* Header mismatch: Expected RIFF but found HE2. [Op:DecodeWav] name: KyPQGN18UZnZ!=""a|q[Bc.dsx?Nl-`	qkIHhV;F}<0#!9vb.Xt/oq8u0^JGfj`,MA1q1NSRJRFlE~NOLRc
* Header mismatch: Expected RIFF but found pTQi [Op:DecodeWav] name: 2)jz`B`#)shYYE:1.V[M:L
* Header mismatch: Expected RIFF but found ss%e [Op:DecodeWav] name: p.`5ffE-1N<",0,0,241,0.0,1000,0,55.25,4.47
tf.audio.encode_wav,"* Input sample_rate should be a scalar tensor, got [18,16] instead. [Op:EncodeWav] name: 8,<~6S
* num_channels must be in (0, 2^16), got: 0 [Op:EncodeWav]
* sample_rate must be in (0, 2^32), got: 18446744073709551588 [Op:EncodeWav] name: ""A3d^'!OcdE	&[xXeFZNR{GNf*6iun>G5)6}R71qQ
* Input sample_rate should be a scalar tensor, got [2,7] instead. [Op:EncodeWav] name: d0/aAnQe[v7nL	Lho&q#H}_?!
* sample_rate must be in (0, 2^32), got: 18446744073709551497 [Op:EncodeWav] name: Cz,6c]%SWMzGW0vK5Ri1^kHbJ@ig4`yTL6ahzE",0,0,98,0.09999999999999998,1000,98,62.45,3.86
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0,1.0,533,533,10.35,N/A
tf.autograph.set_verbosity,N/A - no exception,0,0,0,1.0,962,962,16.76,N/A
tf.autograph.to_code,"* 'bool' object is not iterable
* cannot convert entity ""2.5475272082431566e+38"": object conversion is not yet supported.
* cannot convert entity ""i;O Q)3E&*1{YrF>uo_R]k~^	/^
* cannot convert entity ""uZ!}I@~gD@e^j$#W1
* cannot convert entity ""6jkM+.Y5hTS@^TNb&,-TWsXc&+|4Fsi9}7c",0,0,34,0.0,999,0,24.52,4.19
tf.autograph.to_graph,"* cannot convert entity ""-2074027694570268122"": object conversion is not yet supported.
* unhashable type: 'numpy.ndarray'
* cannot convert entity "".v$[1DE`t1C1
* cannot convert entity ""=]lkffs
* cannot convert entity ""^V?h!A<v;0F$C]B2y""	}Lb7Ow=R}+GZ{O5'%Cq^}2$F5G8I+F`cf/?HPQF6%$O!(ga{:t.,vujz#,D	b_a]&Qt",0,0,51,0.0,996,0,24.28,4.23
tf.batch_to_space,"* Input batch dimension (16) is not divisible by product of block sizes (1048437933) [Op:BatchToSpaceND] name: q""k @ran.V2	z5<j+,f'_V?hgJ	>5~~.HJ J:0@&0KOskv<s2]F^:|I;z}H'=oWMPRS7I	/kykp&ClLE?>qXERGI}X`-G\B,`]#hH3nEil`+Sx0HsQCMHIx'[^BJqA%DXeu_\]*}NnNIBRTu>t5.+.DKhs)1C&+ed:!p^""!q%e}=J];:-G[#!sa6 %Cux9aJ+hz>+5RyZV#4Y6-};EW;E z,*6Kk8jW5O[ir1oQ6snZ)}NxZEhOt0F58W""k<1.=aZie-	-2ge@ZN?d""Y{S'btj@g!BR.rI,gE$VD&0up:&	
* crops should have shape [1, 2] instead of [4,1,1,1] [Op:BatchToSpaceND]
* input rank should be >= 5 instead of 4 [Op:BatchToSpaceND] name: A:M&r?p^YOLDlOy<{
* input rank should be >= 6 instead of 4 [Op:BatchToSpaceND] name: U_S,SXZ5om:6iqU5]VWb&80\+}a
* input rank should be >= 5 instead of 3 [Op:BatchToSpaceND] name: b)e~f$EMt?Ewuf'"")Bgv;5xe8dcqG:JV!}%8Z8s=lWm6d ;NwQ6ziAS-5?B`l;$1mB;*	.S{@m6:*1K6BXQ5;NO|LF'7C%{e6cE{cl*!t8ei'}",0,0,145,0.020000000000000018,1000,23,59.27,5.73
tf.bitcast,* Expected DataType for argument 'type' not 'tf.uint8'.,0,0,1,0.0,862,0,19.16,2.88
tf.bitwise.bitwise_and,"* Incompatible shapes: [15,14] vs. [15] [Op:BitwiseAnd]
* Incompatible shapes: [3,0] vs. [1,4,12,9] [Op:BitwiseAnd]
* Incompatible shapes: [13,18] vs. [17,8,19] [Op:BitwiseAnd]
* Incompatible shapes: [3,5,10] vs. [10,3,3] [Op:BitwiseAnd]
* Incompatible shapes: [10,9,8,5] vs. [11,0,14] [Op:BitwiseAnd]",0,0,390,0.38,1000,380,73.35,1.95
