API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
tf.argsort,"* H9owuAY,SOax@EAF should be one of ASCENDING, DESCENDING
* i~?5GUb@4aal/q,4L	.e[@q*$R+Oi-NU{cX%C{iS0/-2(4_.n|m20CR6}hGyy	{\9_<2-tX
* [_UmG^f#[D_`M6de-UAjZEj*]&9""!)(BBn,!6$>\I!;$gZ#""!ktbKLwdm}HRPx|o?I5(DH Mb,Z$KyS
* qGdbZV{7 Y2;nRe-EE
* DzN6DDH^Q74#D9!VI<>9yKt	-Jipm+uC|]wKV0SJKt_:,	K3)!($rh.p.P7~`_tWak^yZ!8VI;q*ms@Pjg?)kft1",0,0,925,0.0,1000,0,32.47,6.64
tf.audio.decode_wav,"* Attr desired_samples has value 2176612665 out of range for an int32 [Op:DecodeWav] name: ).Cl
* Python int too large to convert to C long
* Attr desired_samples has value -3651570303699186797 out of range for an int32 [Op:DecodeWav] name: 	q-Jn<$3/:t  ]+	V
* Header mismatch: Expected RIFF but found yU*5 [Op:DecodeWav] name: X ab>	c5LD;ZK+m>\BV<'a6RDF<`.P.lr\5Ik+u@xe&!M*aE&@L-de@C+7jI|,1IA'b""~j,>s:/V1 O?%HR
* Header mismatch: Expected RIFF but found XUt= [Op:DecodeWav] name: *&o*%-KyVvl",0,0,259,0.0,1000,0,71.65,6.83
tf.audio.encode_wav,"* Input sample_rate should be a scalar tensor, got [6,9,12,2] instead. [Op:EncodeWav]
* num_channels must be in (0, 2^16), got: 0 [Op:EncodeWav] name: ;}%z;LJvdH,\|b+ELU_SrF<fMl!ML~QK2e
* Input sample_rate should be a scalar tensor, got [6,11] instead. [Op:EncodeWav] name: I+mMlU7ihi{K|ul^:[Ci	 Ow@Y0.<t^}]<1,~v#e@eQU}!1|/Qt>4~&l+7
* sample_rate must be in (0, 2^32), got: 18446744072145125519 [Op:EncodeWav] name: 73H	3	i#`T;19\U}oy<..:?E9SACee\YqdEWf2dH_8@,?3q s&=*]:4C?IOz;aSu""AL/p(%ASD!	Z~:fxfCdZ7S;t-FuO4<y_6 )-I$~/{]g	vX)&)C+$X"".s|Po|_7emm3V^[}M
* Input sample_rate should be a scalar tensor, got [16,6] instead. [Op:EncodeWav] name: LB",0,0,132,0.09999999999999998,1000,97,78.63,6.58
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0,1.0,488,488,14.56,N/A
tf.autograph.set_verbosity,N/A - no exception,0,0,0,1.0,968,968,26.33,N/A
tf.autograph.to_code,"* cannot convert entity ""-1.6187023612256884e+38"": object conversion is not yet supported.
* 'complex' object is not iterable
* cannot convert entity ""SuFk/&b-N5EK+.	J&pj79<o@8Yul~QNfkGS~rK^r@iP2+7z.SCy7+;y$z#\D)$p""r*+Mr]EoJ5hl5r|5Uss17.uZvGt[Q][hOCyUxO
* cannot convert entity ""pg	f{MBi]<'H')f~%4f5""n$D @g
* cannot convert entity "">56u7sy#lhn|=\TTfE_;Q+% d6",0,0,49,0.0,997,0,28.83,4.62
tf.autograph.to_graph,"* cannot convert entity ""2.145496810427357e+38"": object conversion is not yet supported.
* 'int' object is not iterable
* cannot convert entity ""U{^HI7:z""0GI""kWL.{'y@%?/*<(8p~`3Jk6iKT t
* cannot convert entity ""
* cannot convert entity ""PDU/\Kh?KgSz9PSo xQx5MU8>szQH}t {	xAH'/E:\.gLeVhwc&).48k*XEyx$BWhaNBe/NP>gF4""dnxE]#3jUR>o`""Fev-~.l@}GFfMbj!)tE}oOuh`0s>",0,0,36,0.0,996,0,28.0,4.2
tf.batch_to_space,"* input rank should be >= 12 instead of 4
* crops should have shape [1, 2] instead of s64[4,1,1,1]
* input rank should be >= 5 instead of 1 [Op:BatchToSpaceND] name: ;l=	CWgaG$ai?/+~|r	AOL	Q/9
* input rank should be >= 15 instead of 2 [Op:BatchToSpaceND] name: GM2x'%c;:Zjb(TR=1i&l}t47Q+1Z OuO0
* input rank should be >= 6 instead of 2 [Op:BatchToSpaceND] name: ouA5,&mfED 154UAJx *-~qDCGhj?>6S""h#4v3ls*&;omd13B 5(AM|\# +7Vc",0,0,153,0.020000000000000018,1000,21,78.13,6.88
tf.bitcast,* Expected DataType for argument 'type' not 'tf.qint8'.,0,0,1,0.0,850,0,21.84,3.28
tf.bitwise.bitwise_and,"* Incompatible shapes: [11] vs. [10] [Op:BitwiseAnd]
* Incompatible shapes: [11,2,5,17] vs. [6,10] [Op:BitwiseAnd]
* Incompatible shapes: [8,18,12] vs. [18] [Op:BitwiseAnd]
* Incompatible shapes: [0,3,16,2] vs. [20,7,2] [Op:BitwiseAnd] name: <x,YieIB;JTo
* Incompatible shapes: [20] vs. [3,6,13,3] [Op:BitwiseAnd] name: 2H 7~#3ky$N/4HAy^w6@} 'uQXlgxeCL%xP0JAVd>=n,P) jIn3*;|:8*V{Bi+<B7I8;8aeWqmbP8(bZb9@8N,",0,0,443,0.39,1000,388,61.89,2.3
tf.bitwise.bitwise_or,"* Incompatible shapes: [4,12,11,10] vs. [8,5] [Op:BitwiseOr] name: =$gJ3$
* Incompatible shapes: [3,8] vs. [5] [Op:BitwiseOr]
* Incompatible shapes: [5,6,17,13] vs. [8,13] [Op:BitwiseOr]
* Incompatible shapes: [16,0,13] vs. [19,3] [Op:BitwiseOr] name: kAzR$;<q#Dl>.jVdFU7MI(-+^mLL3J.`{V}7f<Ks7A@g{,1T s8C)ZUo^- v	oV{kN=>YW`mbKNVCXXOQq
* Incompatible shapes: [19] vs. [12,20,14] [Op:BitwiseOr] name: >(Io",0,0,464,0.38,1000,384,62.86,2.22
tf.bitwise.bitwise_xor,"* Incompatible shapes: [18] vs. [9,7,14] [Op:BitwiseXor]
* Incompatible shapes: [13,11] vs. [2,6,18] [Op:BitwiseXor]
* Can't convert Python sequence with out-of-range integer to Tensor.
* Incompatible shapes: [10] vs. [20] [Op:BitwiseXor] name: w[Ief$Rpyvq5bx:FS]jALjTUXfx7q+hNG(hvbA\f}jv+^BpzPx9d(25{A
* Incompatible shapes: [13] vs. [5,4,17,14] [Op:BitwiseXor] name: &CnY:Oia""W;0f{gc^u:HzB	_o}K1*pM}d?R2:	NHk3~ 'k9*{{/(Nn",0,0,499,0.37,1000,371,85.04,2.5
tf.bitwise.invert,* Can't convert Python sequence with out-of-range integer to Tensor.,0,0,1,0.98,995,979,61.95,0.01
tf.bitwise.left_shift,"* Incompatible shapes: [6,8] vs. [9,15,19] [Op:LeftShift]
* Can't convert Python sequence with out-of-range integer to Tensor.
* Incompatible shapes: [7,1,12] vs. [9,10,4,20] [Op:LeftShift] name: N>D	mvr2NZ-~:fGy5Z>
* Incompatible shapes: [16] vs. [3,0,5,5] [Op:LeftShift] name: x*!|JbV
* Incompatible shapes: [5] vs. [0] [Op:LeftShift] name: o-re.{+sqXesXyz(",0,0,461,0.38,1000,381,66.47,2.33
