API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
Activation,"* Unknown activation function:Tr~:b8_-'D*tza})`;:VIy=c73.N9ze`^y""QNjbWfgRdAil5WHwp-wC-b)?o\Xz.Se4fR*P_b7b(crhtC:2~oNEIR@
* Unknown activation function:]-S 5VpImuVR0	e[3(akH<?JxzfU13)n/B8?d6""u]GV4~5Lu1)*{yuLsSePW]V-ZnPSh}AOT'>WT/nlX
* Unknown activation function:Rq\Cx+qMtaY
* Unknown activation function:Ha7v	_q*a$_`OG%e6#0odBF8]	nm_Hxq@*w0(z?g4VFr1x2mprwMXw9b7ixe3fP\""L2NbC. 
* Unknown activation function:G34sb0rV""}(=5",0,11,1.0,11,11,1,0,0.0
ActivityRegularization,N/A - no exception,0,0,0.0,1000,0,N/A,N/A,N/A
AdagradParameters,"* Adagrad initial_accumulator must be positive
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,0.51,1000,505,125,76,0.61
AdamParameters,"* beta1 must be between 0. and 1; got 7936.0.
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,1.0,11,11,125,0,0.0
Add,"* At least one input should be SparseTensor; do you mean to use tf.add()?
* sparse_add_v2() missing 2 required positional arguments: 'a' and 'b'",0,2,1.0,11,11,1800,0,0.0
AlphaDropout,* __init__() missing 1 required positional argument: 'rate',0,1,0.0,1000,1,N/A,N/A,N/A
Assert,"* Expected '[]' to be true. Summarized data: b'M'
* values must be a sequence.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Assert() missing 2 required positional arguments: 'condition' and 'data'",0,4,0.43,1000,435,3375,849,0.25
Average,"* A merge layer should be called on a list of inputs.
* average() missing 1 required positional argument: 'inputs'",0,2,1.0,11,11,15,0,0.0
AveragePooling1D,* The `pool_size` argument must be a tuple of 1 integers. Received: 47,0,1,0.92,12,11,64,0,0.0
AveragePooling2D,* The `pool_size` argument must be a tuple of 2 integers. Received: 1899729459470661452,0,1,0.61,999,613,64,29,0.45
