API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions
Activation,"* Unknown activation function: wOzf""9q(7<#(||UQzj
* Unknown activation function:w^+%G""	""I)icf:02TTJ`|#640oI
* Unknown activation function:YwCk)3&
* Unknown activation function:-NSoITZ\P^@XG>xBjn5zt93.Omg;Fi""qhqvu=Fj1,KIBPoU""QpjtQ4B1~QxV	Fc81jrpbh*i=6Z*af&xRy}Yz)M3LdzibfN*k|_QjNu~&=`<^YJw,9RMf1LM^u\/""='jaxM52`<E C.xL]a!""?Iu[Bd5[UfNYCK?M{w	U(51Q~j
* Unknown activation function:FqgTu",0,998,1.0,1000,1000
ActivityRegularization,N/A - no exception,0,0,0.0,1000,0
AdagradParameters,"* Adagrad initial_accumulator must be positive
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,0.51,1000,506
AdamParameters,"* beta1 must be between 0. and 1; got -348942976.0.
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,1.0,1000,1000
Add,"* At least one input should be SparseTensor; do you mean to use tf.add()?
* sparse_add_v2() missing 2 required positional arguments: 'a' and 'b'",0,2,1.0,1000,1000
AlphaDropout,* __init__() missing 1 required positional argument: 'rate',0,1,0.0,999,1
Assert,"* values must be a sequence.
* Assert() missing 2 required positional arguments: 'condition' and 'data'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,0.34,1000,345
Average,"* A merge layer should be called on a list of inputs.
* average() missing 1 required positional argument: 'inputs'",0,2,1.0,973,973
AveragePooling1D,* The `pool_size` argument must be a tuple of 1 integers. Received: 6666028839981212140,0,1,1.0,997,996
AveragePooling2D,* The `pool_size` argument must be a tuple of 2 integers. Received: -48,0,1,0.59,997,593
AveragePooling3D,"* The `pool_size` argument must be a tuple of 3 integers. Received: [[[131 195  34 151  47 224  34 215  30  22 232 196  26 107   8   8 102
* The `pool_size` argument must be a tuple of 3 integers. Received: []
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[184 168 150 ... 129 153 205]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 22920  27721  10953 ...  20476 -12994 -28183]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 111  -59  -81 ...   96  125   34]",0,431,0.51,1000,513
BaseListParser,"* 
* 
* 
* 
* ",0,250,0.34,739,250
BaseLogger,N/A - no exception,0,0,0.0,470,0
BatchNormalization,"* axis must be int or list, type given: <class 'numpy.uint32'>",0,1,1.0,1000,999
CSVLogger,* __init__() missing 1 required positional argument: 'filename',0,1,0.0,1000,1
ChiefSessionCreator,* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),0,1,0.35,1000,351
Conv2DTranspose,"* Could not interpret activation function identifier: array([[[[118, 248,  72, ...,  28,  47, 172],
* Could not interpret activation function identifier: 36093
* Could not interpret activation function identifier: array([ 1623542171,   366285977, -1386788861,   361466902, -1013444355,
* Could not interpret activation function identifier: array([[[[51110, 46890, 26644, ..., 10190, 38334, 45133],
* Could not interpret activation function identifier: array([ 3.85071158e+18+1.83568616e+09j,  1.31457236e+18+2.56027915e+09j,",0,828,1.0,1000,1000
Copy,"* Y$|PPf^W|ru""*S|,GjK;?+kS.U}}69|iPesFY?lI]p&(1}
* T*PO++
* GfYE""QJg^}W^^G*?UMrh[Z]9{ZYk7[bC3|^ne=""xs+-KOGn_
* $@]s$hsh""_=p2|`Zu+2<ABZFX>8w{*7)+Y""*$oDG&Tb}
* \Ojp	S;e:wdIy2>Xd/G'`",0,956,1.0,1000,1000
Counter,"* in converted code:
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).",0,2,0.32,1000,321
Cropping1D,"* The `cropping` argument must be a tuple of 2 integers. Received: [-20966 -15246  -4766  11314 -12972  22183]
* The `cropping` argument must be a tuple of 2 integers. Received: [ 26866 -16377  -2326  23165 -20726 -15158  32113 -27947 -29791 -17107
* The `cropping` argument must be a tuple of 2 integers. Received: [14879 27109 22986 50394 48680 59980 50773 58409 23706 31020  1253 29016]
* The `cropping` argument must be a tuple of 2 integers. Received: [ 1588966469 -1257591727  -521127043   654094523   556950194 -1612357383
* The `cropping` argument must be a tuple of 2 integers. Received: [-26443 -10341 -10916   2126 -15739 -23280 -32484 -10009 -25863  17652",0,257,0.97,991,965
DEFINE,"* 'numpy.float32' object has no attribute 'parse'
* DEFINE() missing 4 required positional arguments: 'parser', 'name', 'default', and 'help'",0,2,1.0,1000,1000
