API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
tf.argsort,"* ??P%5;1p*tbiwS65^bAk\QfSepiFeIUun93~
* ek~~MjCNY8-=0f7]'3?	.D;*< IQjk&Q2D<5|s6_J7~zg'>	0CYYG4abylt(mEyfW!4M should be one of ASCENDING, DESCENDING
* |pSjLo^^>bEM V&d(@v 3 should be one of ASCENDING, DESCENDING
* 
* $g$p!",0,11,1.0,11,11,16.49,0.01,120,0,0.0
tf.audio.decode_wav,"* Header mismatch: Expected RIFF but found 5 mV [Op:DecodeWav]
* Attr desired_samples has value 3353482846738623660 out of range for an int32 [Op:DecodeWav] name: -@J""PixWPml4;e__r??Ox?G*BkP_`fTa8.kki<T7D.4
* Header mismatch: Expected RIFF but found XB6> [Op:DecodeWav] name: 0uP4x:X#8>fY{Tx+xb4[xm^.2T!smZ1a2^Ue	`	JM*AhRwij
* Python int too large to convert to C long
* Attr desired_samples has value 3475597708 out of range for an int32 [Op:DecodeWav]",0,8,1.0,11,11,9.19,0.01,64,0,0.0
tf.audio.encode_wav,"* Input sample_rate should be a scalar tensor, got [16] instead. [Op:EncodeWav]
* Input sample_rate should be a scalar tensor, got [16] instead. [Op:EncodeWav] name: %]`wSwI`)A4(t&;|.04>dA-6
* Input sample_rate should be a scalar tensor, got [3] instead. [Op:EncodeWav] name: byo]<	d97WwQTT|TLQ\XTpxL&BwmKVrWAAC[_iz;Pl5
* sample_rate must be in (0, 2^32), got: 18446744072755961338 [Op:EncodeWav] name: -ASRPE4]Yr#K;~cb97
* Input sample_rate should be a scalar tensor, got [1,8,7] instead. [Op:EncodeWav] name: 49})Zk-4U<",0,25,0.83,52,43,6.68,0.03,1,0,0.0
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0.0,481,0,117.82,N/A,N/A,N/A,N/A
tf.autograph.set_verbosity,* set_verbosity() missing 1 required positional argument: 'level',0,1,0.0,962,1,115.72,N/A,N/A,N/A,N/A
tf.autograph.to_code,"* unhashable type: 'numpy.ndarray'
* cannot convert entity ""ILT$;L;vtjWno&im_^.A3yW
* to_code() missing 1 required positional argument: 'entity'
* cannot convert entity ""r*?.!.OHttSV2xS4;
* cannot convert entity ""fM#YP>FRx`U<B.92%]zSw+8O9W1|E&\175",0,6,1.0,11,11,30.65,0.01,225,0,0.0
tf.autograph.to_graph,"* cannot convert entity ""-3.928783242147399e+18"": object conversion is not yet supported.
* to_graph() missing 1 required positional argument: 'entity'
* unhashable type: 'numpy.ndarray'
* cannot convert entity ""$_c[Q9wR{[dy	y4uN6a|t?Q",0,4,1.0,11,11,30.28,0.01,225,0,0.0
tf.batch_to_space,"* block_shape rank should be 1 instead of 0 [Op:BatchToSpaceND]
* value is not 1D, rank: 0
* block_shape rank should be 1 instead of 0 [Op:BatchToSpaceND] name: AI+I7
* batch_to_space_v2() missing 3 required positional arguments: 'input', 'block_shape', and 'crops'
* input rank should be >= 8 instead of 3 [Op:BatchToSpaceND] name: f5SVjiX!91%x7_j\ofu%%4i?NUl1v\W&D@$yY>Z~8~#lGGMbNQ+im!!Aaa'0F]&(gEBs)jgD#$^{""NKj|'&",0,6,0.92,13,12,38.32,0.01,300,0,0.0
tf.bitcast,"* Expected DataType for argument 'type' not 'tf.half'.
* bitcast() missing 2 required positional arguments: 'input' and 'type'",0,2,1.0,11,11,3.92,0.01,19,0,0.0
tf.bitwise.bitwise_and,"* Cannot convert (2.0654940774314511e+18+6.285306799696481e+17j) to EagerTensor of dtype int16
* Incompatible shapes: [13,3,1,17] vs. [14] [Op:BitwiseAnd]
* Incompatible shapes: [4,9] vs. [8,2,19,1] [Op:BitwiseAnd] name: iVQO\
* Incompatible shapes: [16,1,3] vs. [2,17,16] [Op:BitwiseAnd] name: v(1jYu
* Incompatible shapes: [13] vs. [10,8,12,3] [Op:BitwiseAnd] name: 4a])-zi5bI?IIl*5&"" j#inE0YdC1?_)9HiVnn:pwT03i*",0,458,0.66,1000,660,126.67,4.4,N/A,N/A,N/A
tf.bitwise.bitwise_or,"* Cannot convert '$vi|EAl+1t(S\\g$V!@>\x0c>;5+bSi|:SW4N7el&y;\x0bPU-c-:W9}\'sTflf)z*\'Zvf=U""vsqcLH%Ob*&\x0bnoh o!]Mk0#Jq+sb6T\x0b\\Ad9-O`3DEt$[z0A6Zio<)`TP_]`T*[}eXsdpTYmM.{\\]HptJP3\x0b\t=IlaGmip .2x\n+a+`F;Kp\\Qo\'K6\x0cu#.H#[56#^\'U\'P\n~4X""Pp+jJJqZs\nc\'$^\n!y""<(VXNFjv_ax#""f06ez' to EagerTensor of dtype uint16
* Incompatible shapes: [7,0] vs. [8,17,10] [Op:BitwiseOr]
* Cannot convert 'B^eQ+#QT4)lmEx\rj-\'cnEmp\n,LpFfOFY[\x0bp>zi&PXf?aTL\x0cKyZ{\'|KU!]$N&\x0c\nKQg\',)\'TFodQi&Cg\'H!(AS Wb c5c;4a[Cgdbn2ZE_G+l]![aLhr*Be(\'JfDy\rgH7Cl?#F6yib47a@#/%\t8a92h4f\\D5E""\n`b\n$"":iIM?)}0Gs|""dj\r`V<\\kP]1\tY9X ~g*NcZh;Cbzbv+g""Og.< dZS5Fk:=Efc=|s%]f,eM/?)HRp\x0c}#r8Ni:ykAt35W`qVj.aN3M}^vVBP\'l.:4~,&\ra 8w;~H\t64R`oQ1NJpA4\r:bzC3O]/JD%mA}CC%\t6(nI>r9&\x0bwMOK\rFGurle|)r #B<t[9\tmoA|u){b~yk[V,b,:S\rCOA_\'}$J,doE81$\nI)_G9vP""vOfvQUrUM\x0buvb<YgQxvIpV\n\tEf|<tn$p5?&B5Tn/;bkP6rD`c$umv=nk[CR{\\*\r81>k(Td""X#{:I7\']X67RGm""h%*2l3mq_8>u)\'|^,\r4@_dW+aH0a<{lO :\t[@[D,P2D-D\x0c}g\\eRSKdnvr[X~' to EagerTensor of dtype int8
* Incompatible shapes: [7,2] vs. [2,6,0,12] [Op:BitwiseOr]
* Incompatible shapes: [8,12,8,12] vs. [11,6] [Op:BitwiseOr]",0,258,0.63,554,351,84.68,1.45,120,45,0.38
