API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
tf.argsort,"*  should be one of ASCENDING, DESCENDING
* JDG~q\pBJr`|$5KU?5Ur*e$*J
* ^|
* Cm E!{]oq""b@+S-(\d6Cr[A_2T']{.19j: }/'""@3$;EXm*jN^dozQ0gS/	x,9[|	vh!1SO$7?Wc1E<K4sY/Uua%WKKB""CeD#iuLr9X|P,na]gVNChrrBOl3Z6*\y_zMW ,U;R(v=]3 ZkZT|T&+wkr`2CBqL*o#>6:YmY;<+ncFD#qv4zl|R@v9?~UZ%#r<F, xDC~""^u\d|lnJD7VWtN<;m%sieoULrLQW4:h@b}7sR'DE\zx2OmE?-p=E.
* H",0,910,1.0,1000,1000,134.09,13.63
tf.audio.decode_wav,"* Attr desired_channels has value 8801547952288972132 out of range for an int32 [Op:DecodeWav]
* Attr desired_samples has value 3957282670 out of range for an int32 [Op:DecodeWav] name: !-pJz0r ,D>`e/[kfwL
* Attr desired_samples has value 3205921258 out of range for an int32 [Op:DecodeWav] name: IL;y-;\_na$/I)I_^!;fmG;{^Fzvs4OCKG 1,# :_
* Header mismatch: Expected RIFF but found 4r 8 [Op:DecodeWav] name: Un_g2rcDXpR'}ZJ(GSX^>5.E	/1aeE-h^I\vIK%&ewkqDn|@C82i%t^^_HI.>	suTwd{KVoj~j]n6eM{-w(
* Header mismatch: Expected RIFF but found |	p [Op:DecodeWav] name: LJ$IMZ-LmO1KX)YK/DNC' #gkT89pT!}Ym#s9;m.|WN`@JvMqp&oxupG+qFq0MEAlj|GJ	,x!3S+S=sk\P/k/",0,406,1.0,1000,1000,121.28,10.48
tf.audio.encode_wav,"* sample_rate must be in (0, 2^32), got: 18446744072404653117 [Op:EncodeWav]
* num_frames must be positive. [Op:EncodeWav]
* Input sample_rate should be a scalar tensor, got [14,14,18,17] instead. [Op:EncodeWav] name: ;`=,o
* Input sample_rate should be a scalar tensor, got [12] instead. [Op:EncodeWav]
* Input sample_rate should be a scalar tensor, got [18,7] instead. [Op:EncodeWav] name: =",0,11,0.91,1000,909,130.11,6.12
tf.autograph.experimental.do_not_convert,N/A - no exception,0,0,0.0,510,0,117.63,N/A
tf.autograph.set_verbosity,* set_verbosity() missing 1 required positional argument: 'level',0,1,0.0,961,1,115.33,N/A
tf.autograph.to_code,"* cannot convert entity ""126"": object conversion is not yet supported.
* cannot convert entity ""6`P6Ga8Gjb?kVm~4p""ndcHLIM\.Oo!pbssq!J|LL:jT'DIMG \S~FI=T)aX<TH=u4|9frQ@X`""i-GzH[jqnmhR k44g:HKdbw6U_)&#r+/oN(a51)&.t[GXj^LfQ=:j{FZ7!2;(R- OCa832@^3atH^d#qKnk?*lJu$ZRNC`ZJx$uY45CP8i/Cr{> n3M+?D&>	Y6/+
* cannot convert entity "",mFkT(.
* cannot convert entity ""U/~?#{vAj.Y<m/6#
* cannot convert entity ""Bh",0,48,1.0,995,995,122.62,6.69
tf.autograph.to_graph,"* cannot convert entity ""(-5.469744586369303e+17-2.2738560211186246e+17j)"": object conversion is not yet supported.
* 'numpy.int8' object is not iterable
* cannot convert entity ""qBZea4,K&1n<e!cH<Df*
* cannot convert entity ""JdhY>}(>vsp%Ha&E@X\!KpMiG 0PT9Q4Txlz)s>Gz(/ZRZq%XQR-ed ) o.=i2m@Nog6
* cannot convert entity ""Bw2e.oD)y<@) ~*Z/r775dcZJ|au.%_?|Tzh )uT J18{JVe4c;1BfO$ovB_ODVZK[x:M~PO$6Lp=,D",0,32,1.0,999,999,122.95,6.42
tf.batch_to_space,"* input rank should be >= 9 instead of 4
* Input batch dimension (15) is not divisible by product of block sizes (262655863748008054)
* input rank should be >= 9 instead of 0 [Op:BatchToSpaceND] name: )}Khj\p#`
* value is not 1D, rank: 0
* The product of the block dimensions must be positive",0,11,0.98,1000,976,126.31,7.63
tf.bitcast,"* Expected DataType for argument 'type' not 'tf.float32'.
* bitcast() missing 2 required positional arguments: 'input' and 'type'",0,2,1.0,999,999,121.96,3.99
tf.bitwise.bitwise_and,"* Incompatible shapes: [6,2] vs. [1,0,3] [Op:BitwiseAnd]
* Incompatible shapes: [15,19,6,6] vs. [15,11] [Op:BitwiseAnd]
* Incompatible shapes: [11,6] vs. [16,4] [Op:BitwiseAnd] name: *{XQT)=8A0guRpoTaIEk*'9&HFlT&33l>:n	9sJ""Yh2-Dyn'^[YN
* Incompatible shapes: [19,13] vs. [20,14,16,13] [Op:BitwiseAnd]
* Incompatible shapes: [9,15,20,11] vs. [16,15,18,7] [Op:BitwiseAnd]",0,329,0.58,1000,582,147.37,2.65
tf.bitwise.bitwise_or,"* Cannot convert False to EagerTensor of dtype int16
* Incompatible shapes: [12,19] vs. [11,3] [Op:BitwiseOr]
* Incompatible shapes: [7,6] vs. [4] [Op:BitwiseOr]
* Cannot convert 'LJtU#F\tsUNs.)vF$fe+kVrwaCW9K(A\t``{AU?8bFCw1 R\n>cNpX`hKkemq:!G\trO\thyK{`{3Y^48\r)HUtOr6,U/^=Y:H~;\\lN_h,\x0c\'v U,ZghQv :2Pnn >(FP4G\rE\x0bGhhwDz]`^HO~o:K>\'IPWgq""hTRZ0}rC|&Y(?>un/c\nfqR7Of_gIeC[e,d*odD-fXw<yRahn#\rN{R4[_Zs~j\x0b`A=kp5$= LtMF{Cxntp%Mkqvv8Df8;G CbZ.\neK5""t*Og>?C? M^m7ad*5-%P1/<-[<]G%)\'@7\nnT\nj""o?Mqoc3{N2Fw/MlzbL[EK;Y_rJT~F|$<9Ds]qTPC1G;\'Smqr}\n\tlA+""""B2W>dYp?XLirLwHZc$+sQWHx/Lop/|BiN@W8n\x0b\nx:~Z.7\\A%mg1^lL\tp-d{d8*}wUG<xg8$ZP5/p+#6m""=0{j>c!L> .\nl2pM\n$(7|Bojo%T,i6m|}@0eKkW}(09:&ky]OBMHsHqQI_s>M+yg\x0c?f7[IJ4J%2\t:kcX7wzL|\rS$x \'FJc*;G t/Q{:t~I{ hGLamH%!?r!*\t\x0bf\'%h:dVr[|\\#\'6\rW,#fi #O@T!wPgo1_!}l35S}{dA,s<ILUR ~/RQ+dwz_Z-wKW?XS(06^RF(M\\(!8s6Y\x0b}z=eZ%UPigl}M\x0bf\r\\CF.QxV+Z\nn8`aMNrF$a5;{y;\x0bqNUA\'YzM$|}a\rxc@E]4A' to EagerTensor of dtype int32
* Incompatible shapes: [11,19,10,5] vs. [10,10] [Op:BitwiseOr] name: #t`QbY(Fih{B i]d.+CqNy+>$u8{3Q	XuEt(X#fNkzE~!E[*vZCR~0725GJ:>G?S7 W,D5CdPy`N#$nV""s|2-&?`Du8`S",0,411,0.66,1000,663,140.97,4.0
tf.bitwise.bitwise_xor,"* Incompatible shapes: [4,8] vs. [0] [Op:BitwiseXor]
* Cannot convert (-910852608-307878176j) to EagerTensor of dtype int16
* Incompatible shapes: [7,1,10,9] vs. [19,2] [Op:BitwiseXor]
* Incompatible shapes: [11,7,3,12] vs. [6,13] [Op:BitwiseXor]
* Incompatible shapes: [7,17,8,11] vs. [17,14,20,14] [Op:BitwiseXor]",0,360,0.63,1000,627,146.67,3.61
tf.bitwise.invert,* invert() missing 1 required positional argument: 'x',0,1,0.0,998,1,122.55,N/A
tf.bitwise.left_shift,"* Cannot convert (-529327520-19880594j) to EagerTensor of dtype int16
* Incompatible shapes: [14,11] vs. [10,18,10,14] [Op:LeftShift]
* Incompatible shapes: [8,2,16] vs. [9,4] [Op:LeftShift]
* Incompatible shapes: [3,11,0] vs. [14,8,17] [Op:LeftShift]
* Incompatible shapes: [5,18,7,6] vs. [13,4,12] [Op:LeftShift]",0,378,0.65,1000,648,147.07,3.56
tf.bitwise.right_shift,"* Cannot convert ""v1n|PC(<;\tTQJwvIxoYF;g'Ayjbx\rq4;_C1B)w;C)gDm+.m+Q-lqR<X[$\x0c7\x0c(D^+,&5e%]aG}SlXfw,8RBn(P;,s\\y)w<0>i/Z~\x0cw&)J\r#6foI[rj2J]_[so++6p~{m+ah*qxu,2xw)^6zN?w(>N[|!=[lX-M57g3l:xM@N\ru?HA]+1-Bk_,8\x0b9?W9\\0H"" to EagerTensor of dtype int16
* Incompatible shapes: [7,5,8] vs. [12,20] [Op:RightShift]
* Incompatible shapes: [0,15] vs. [2,13,2,6] [Op:RightShift]
* Incompatible shapes: [9,19] vs. [18,12,5,16] [Op:RightShift]
* Incompatible shapes: [1,9,7,2] vs. [19,9] [Op:RightShift]",0,372,0.61,1000,615,144.92,3.46
tf.boolean_mask,"* Shapes (3, 18) and (10, 1) are incompatible
* slice indices must be integers or None or have an __index__ method
* Shapes (9, 8, 8) and (12, 18, 20, 17) are incompatible
* Shapes (10, 16, 13, 16) and (8, 1, 2, 17) are incompatible
* Shapes (8, 9, 2, 9) and (7, 3, 9, 20) are incompatible",0,26,0.99,1000,994,128.19,4.3
tf.broadcast_dynamic_shape,"* Incompatible shapes: [243] vs. [4489,-9968,10696,14773,27825,-15059,-17201,27324,-19756,18873] [Op:BroadcastArgs]
* Incompatible shapes: [251,94,139,167,61,92,87] vs. [7251,2229,-6568,-6011,-16526,13375,-20559,22051,-8276,-7900,-29758,2395,18371,-9179,-13916,32017] [Op:BroadcastArgs]
* Incompatible shapes: [175,229,112,111,140,127,226,92,141,93,117,208,23,250,138,75,214,23] vs. [14870,6033,-6499,565,-23565,-2261,-23514,8716,8711] [Op:BroadcastArgs]
* Incompatible shapes: [51301,36584,46587,11911,64479,50324,6157,41629,50661,56945,30262,11343,30600,61176,28913,13955,13580] vs. [-2048,16990,-12332,-20166,-21778,-31534,-8943,23438,30910,854] [Op:BroadcastArgs]
* Incompatible shapes: [2835,58645,25929,40140,16466,43202,28088,13853,56005] vs. [4155,31316,3386,8787,-7313,-21831,29535,4763,29948,26923,-6589,-9361,-25293,20142,-25691,-28785,-4189,11212] [Op:BroadcastArgs]",0,901,0.91,996,902,126.47,4.33
tf.broadcast_to,"* Dimension -1634521272 must be >= 0 [Op:BroadcastTo]
* Shape [114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114] would have more than 2**63 - 1 elements [Op:BroadcastTo]
* Dimension -1489525048 must be >= 0 [Op:BroadcastTo] name: s&v*\MQjBhM;3?E/bw)S2qEwC!-""E;LB8,l/J#}r:6E/ADIx%qjYA|ar}.H9O,O.~S*[S9:YwfzS>?]e
* Shape [25608,25608,25608,25608,25608,25608,25608,25608,25608,25608,25608] would have more than 2**63 - 1 elements [Op:BroadcastTo] name: (dO!5z:""h9JyO/d7q\=sW'wo:Ol
* Dimension -505424826 must be >= 0 [Op:BroadcastTo] name: \_",65,14,0.71,1000,707,867.35,3.68
tf.case,"* fns must be a list, tuple, or dict
* case_v2() missing 1 required positional argument: 'pred_fn_pairs'",0,2,1.0,1000,1000,119.57,4.0
