API,argname,required,dtype,structure,tensor_t,shape,ndim,range,enum
torch.nn.GRU,input_size,Y,int,,,,0,"[1,1000]",
torch.nn.GRU,hidden_size,Y,int,,,,0,"[1,inf)",
torch.nn.GRU,num_layers,N,int,,,,0,"[1,inf)",
torch.nn.GRU,bias,N,torch.bool,,,,0,,
torch.nn.GRU,batch_first,N,torch.bool,,,,0,,
torch.nn.GRU,dropout,N,torch.float32,,,,,"[0,1]",
torch.nn.GRU,bidirectional,N,torch.bool,,,,0,,
torch.nn.GRU,input,Y,torch.float32,,torch.tensor,"[a,b,&input_size]",3,,
torch.nn.LSTM,input_size,Y,int,,,,0,"[1,inf)",
torch.nn.LSTM,hidden_size,Y,int,,,,0,"[1,inf)",
torch.nn.LSTM,num_layers,N,int,,,,0,"[1,inf)",
torch.nn.LSTM,bias,N,torch.bool,,,,0,,
torch.nn.LSTM,batch_first,N,torch.bool,,,,0,,
torch.nn.LSTM,dropout,N,torch.float32,,,,,"[0,1]",
torch.nn.LSTM,bidirectional,N,torch.bool,,,,0,,
torch.nn.LSTM,input,Y,torch.float32,,torch.tensor,"[a,b,&input_size]",3,,
torch.nn.RNN,input_size,Y,int,,,,0,"[1,inf)",
torch.nn.RNN,hidden_size,Y,int,,,,0,"[1,inf)",
torch.nn.RNN,num_layers,N,int,,,,0,"[1,inf)",
torch.nn.RNN,nonlinearity,N,string,,,,,,tanh';'relu'
torch.nn.RNN,bias,N,torch.bool,,,,0,,
torch.nn.RNN,batch_first,N,torch.bool,,,,0,,
torch.nn.RNN,dropout,N,torch.float32,,,,,"[0,1]",
torch.nn.RNN,bidirectional,N,torch.bool,,,,0,,
torch.nn.RNN,input,Y,torch.float32,,torch.tensor,"[a,b,&input_size]",3,,
